County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lawrence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79
Livingston,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79
Logan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macon,18.27,18.27,18.27,18.27,19.23,19.23,19.23,20.19,20.19,20.19,20.19,20.19,20.19,20.19
Macoupin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison,14.29,14.29,14.67,15.05,15.05,15.05,15.05,15.05,15.05,15.05,15.05,15.8,16.17,16.17
Marion,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,18.55,18.55,18.55,18.55
Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonough,7.34,7.34,7.34,7.34,7.34,7.34,11.01,14.69,14.69,14.69,14.69,14.69,14.69,14.69
McHenry,12.89,13.22,13.54,13.86,14.18,14.51,14.83,14.83,15.15,15.79,16.12,16.76,16.76,16.76
McLean,10.53,11.11,11.7,12.28,12.87,12.87,14.04,15.21,15.79,16.38,16.96,17.55,17.55,17.55
Menard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19
Moultrie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,1.93,1.93,1.93,1.93,1.93
Peoria,26.95,28.05,28.6,28.6,30.25,32.45,33.0,34.1,35.75,35.75,38.5,41.25,42.35,43.45
Perry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulaski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Putnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randolph,16.58,16.58,16.58,16.58,16.58,16.58,16.58,16.58,16.58,16.58,16.58,16.58,16.58,16.58
Richland,0.0,0.0,0.0,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32
Rock Island,11.75,11.75,13.13,13.13,13.13,13.13,13.82,13.82,13.82,14.52,14.52,15.21,16.59,16.59
Saline,8.41,8.41,12.62,12.62,12.62,16.83,16.83,16.83,16.83,16.83,16.83,21.04,21.04,21.04
Sangamon,34.12,34.63,35.65,37.69,39.73,40.24,42.78,45.33,47.88,50.93,54.5,57.55,61.12,67.74
Schuyler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Clair,12.43,14.37,15.15,15.93,15.93,17.09,17.48,18.65,19.04,19.43,20.2,21.37,21.76,21.76
Stark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephenson,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
Tazewell,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81
Union,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
Vermilion,24.26,25.61,26.96,26.96,26.96,28.31,29.65,29.65,29.65,31.0,31.0,32.35,32.35,32.35
