County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lawrence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee,32.22,35.14,35.14,38.07,38.07,41.0,43.93,46.86,49.79,52.72,55.65,61.5,70.29,70.29
Livingston,50.26,50.26,50.26,50.26,50.26,50.26,53.05,58.63,64.22,64.22,64.22,64.22,64.22,64.22
Logan,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,57.17,60.74,64.32,64.32,64.32
Macon,58.65,63.46,67.31,75.96,80.77,83.66,84.62,89.42,96.16,101.93,104.81,108.66,114.43,125.0
Macoupin,11.12,11.12,11.12,11.12,11.12,11.12,11.12,13.34,13.34,13.34,13.34,13.34,13.34,13.34
Madison,42.5,44.01,46.27,47.77,48.52,49.65,51.53,53.41,54.54,56.04,58.3,59.81,61.31,64.7
Marion,21.2,21.2,23.85,29.16,31.81,31.81,31.81,31.81,34.46,34.46,34.46,34.46,34.46,34.46
Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonough,84.44,95.45,99.13,99.13,102.8,102.8,102.8,102.8,102.8,106.47,106.47,106.47,106.47,110.14
McHenry,45.77,47.38,48.67,51.25,51.9,53.19,53.83,56.09,57.05,59.31,60.6,62.21,64.79,67.37
McLean,44.46,47.97,50.89,53.23,54.99,56.16,56.74,59.08,60.25,62.59,64.34,66.68,71.36,73.7
Menard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe,25.74,28.6,28.6,28.6,31.46,31.46,31.46,31.46,34.32,34.32,40.04,40.04,40.04,42.9
Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan,72.92,72.92,78.99,82.03,82.03,85.07,85.07,91.14,94.18,97.22,97.22,100.26,100.26,103.3
Moultrie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogle,23.17,25.1,25.1,28.96,28.96,28.96,30.9,32.83,38.62,38.62,38.62,38.62,40.55,40.55
Peoria,91.29,94.59,100.09,106.14,112.74,120.44,127.04,130.34,133.64,138.04,141.89,149.04,164.44,171.59
Perry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulaski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Putnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randolph,43.1,46.41,49.73,49.73,56.36,56.36,56.36,56.36,56.36,56.36,56.36,59.68,66.31,72.94
Richland,44.27,44.27,44.27,44.27,44.27,44.27,56.92,56.92,56.92,69.56,75.89,75.89,75.89,82.21
Rock Island,50.46,53.92,56.68,58.75,60.14,60.83,64.28,64.97,66.36,67.05,69.12,71.2,73.27,75.34
Saline,88.35,92.56,100.98,105.18,113.6,113.6,117.81,126.22,126.22,126.22,126.22,130.43,134.63,138.84
Sangamon,82.0,88.62,91.17,96.26,103.39,108.99,112.56,118.67,124.27,129.37,135.48,140.06,147.7,155.85
Schuyler,14.49,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,43.47,43.47,43.47,43.47
Scott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Clair,48.17,54.0,55.56,59.44,62.55,64.88,66.43,68.38,71.48,75.76,78.09,82.75,86.25,89.74
Stark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephenson,53.78,53.78,58.26,58.26,58.26,58.26,58.26,60.5,60.5,62.74,62.74,62.74,62.74,64.98
Tazewell,40.35,41.11,41.11,42.64,43.4,45.68,47.97,49.49,49.49,51.01,51.77,52.53,52.53,53.3
Union,52.19,57.99,57.99,57.99,63.79,63.79,63.79,69.59,69.59,69.59,69.59,69.59,69.59,86.99
Vermilion,67.4,71.44,75.48,76.83,78.18,80.88,84.92,87.62,87.62,88.96,88.96,90.31,90.31,90.31
Wabash,44.01,44.01,44.01,44.01,44.01,44.01,44.01,44.01,44.01,44.01,44.01,44.01,44.01,44.01
Warren,35.64,35.64,35.64,35.64,35.64,35.64,35.64,35.64,47.52,47.52,53.46,53.46,53.46,59.4
Washington,14.53,21.8,29.07,29.07,29.07,29.07,29.07,29.07,29.07,29.07,29.07,36.33,36.33,36.33
Wayne,55.63,61.81,61.81,61.81,61.81,61.81,61.81,61.81,61.81,61.81,61.81,67.99,67.99,67.99
White,36.03,36.03,36.03,36.03,36.03,36.03,43.24,43.24,43.24,43.24,43.24,43.24,43.24,43.24
Whiteside,23.34,23.34,25.14,25.14,25.14,25.14,25.14,26.93,28.73,28.73,28.73,28.73,28.73,28.73
Will,40.64,42.08,43.8,46.1,48.25,49.26,50.12,50.26,51.7,52.85,53.42,54.28,55.72,56.72
Williamson,81.9,89.35,89.35,96.79,96.79,99.77,104.24,107.22,108.71,113.17,113.17,114.66,117.64,129.55
Winnebago,62.38,65.88,68.34,69.39,71.84,73.94,75.7,78.5,80.25,83.06,90.06,95.32,99.88,102.33
Woodford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
