County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lawrence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee,29.29,29.29,29.29,35.14,35.14,35.14,38.07,38.07,41.0,41.0,41.0,43.93,43.93,43.93
Livingston,22.34,22.34,22.34,25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.13
Logan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macon,19.23,20.19,21.15,21.15,23.08,24.04,25.96,26.92,26.92,28.85,28.85,28.85,28.85,28.85
Macoupin,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,4.45,4.45
Madison,18.43,18.81,18.81,18.81,19.18,20.69,22.94,24.07,24.07,24.83,25.2,25.2,25.58,25.95
Marion,2.65,2.65,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonough,11.01,11.01,11.01,11.01,14.69,14.69,14.69,14.69,14.69,14.69,14.69,18.36,18.36,18.36
McHenry,17.73,18.37,18.7,18.7,18.7,18.7,19.66,20.95,21.6,22.24,23.53,24.82,25.47,25.47
McLean,17.55,19.3,20.47,20.47,21.06,21.06,22.23,22.81,23.98,24.57,25.74,25.74,26.32,26.91
Menard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,5.72,5.72,5.72,5.72,5.72,5.72
Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,30.38,30.38
Moultrie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogle,5.79,5.79,5.79,5.79,5.79,5.79,7.72,7.72,11.59,11.59,11.59,11.59,11.59,11.59
Peoria,36.85,39.05,44.55,45.65,48.4,53.35,54.45,57.75,62.7,65.45,67.1,70.95,76.99,81.39
Perry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulaski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Putnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randolph,13.26,13.26,13.26,13.26,19.89,19.89,19.89,19.89,23.21,23.21,23.21,23.21,23.21,23.21
Richland,12.65,25.3,25.3,25.3,25.3,25.3,37.94,37.94,37.94,37.94,37.94,37.94,37.94,37.94
Rock Island,18.66,19.35,20.74,20.74,20.74,20.74,21.43,21.43,21.43,22.81,22.81,23.5,23.5,23.5
Saline,21.04,21.04,21.04,21.04,25.24,25.24,25.24,25.24,29.45,29.45,33.66,33.66,33.66,37.87
Sangamon,27.5,31.07,33.61,35.14,38.2,40.75,43.8,44.82,48.89,52.97,55.01,57.04,60.1,62.65
Schuyler,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49
Scott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Clair,15.15,15.93,16.32,16.71,17.48,18.26,19.04,20.59,20.98,23.7,24.09,24.86,25.25,25.25
Stark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephenson,20.17,20.17,22.41,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.65
Tazewell,4.57,4.57,5.33,5.33,5.33,5.33,5.33,5.33,6.09,6.85,6.85,6.85,6.85,6.85
Union,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,17.4
Vermilion,13.48,14.83,16.18,16.18,16.18,17.52,21.57,21.57,21.57,21.57,21.57,21.57,21.57,21.57
Wabash,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41
Warren,5.94,5.94,5.94,5.94,5.94,11.88,23.76,23.76,29.7,29.7,29.7,29.7,29.7,29.7
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wayne,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36
White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whiteside,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98
Will,6.46,6.75,7.18,7.47,7.75,7.75,8.04,8.33,8.47,8.76,9.05,9.33,9.33,9.33
Williamson,32.76,32.76,35.74,35.74,35.74,35.74,37.23,37.23,41.7,41.7,41.7,41.7,41.7,43.18
Winnebago,15.07,15.77,16.12,16.82,18.92,19.98,21.03,21.73,22.43,23.13,23.48,24.88,26.63,26.63
Woodford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
