Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2011,ILLINOIS,101291,24607,23852,5324,5369,3510,2896,2361,2658,2394,1828,1041,1121,24330,0
2011,Adams,815,199,167,43,52,26,28,16,21,32,16,8,2,205,0
2011,Alexander,105,29,19,5,7,1,3,3,4,2,3,1,0,28,0
2011,Bond,177,35,42,6,12,7,9,5,4,8,3,3,2,41,0
2011,Boone,364,83,82,25,30,10,13,3,11,6,4,2,3,92,0
2011,Brown,46,11,12,3,3,3,1,0,1,0,1,0,2,9,0
2011,Bureau,376,94,85,21,31,13,11,10,7,12,4,3,5,80,0
2011,Calhoun,53,20,8,2,4,1,0,0,1,2,1,0,0,14,0
2011,Carroll,181,41,52,5,10,4,3,2,8,3,4,5,1,43,0
2011,Cass,142,34,37,14,15,6,0,4,0,4,2,0,0,26,0
2011,Champaign,1209,260,273,54,63,48,62,26,25,28,20,8,12,330,0
2011,Christian,404,83,98,24,26,14,18,11,9,14,10,5,3,89,0
2011,Clark,198,39,45,18,12,7,5,2,4,5,7,5,2,47,0
2011,Clay,176,33,45,14,16,11,1,4,1,9,2,2,1,37,0
2011,Clinton,319,97,72,18,9,13,8,6,3,3,9,4,4,73,0
2011,Coles,457,135,83,27,30,18,11,13,14,13,2,2,3,106,0
2011,Cook,38871,10114,9221,1981,1655,1148,858,949,1092,967,805,336,451,9294,0
2011,Chicago,18743,5008,4333,889,718,639,370,455,566,472,415,160,239,4479,0
2011,Suburban Cook,20128,5106,4888,1092,937,509,488,494,526,495,390,176,212,4815,0
2011,Crawford,214,49,43,20,12,11,8,6,5,9,3,1,1,46,0
2011,Cumberland,130,26,39,6,4,8,2,1,3,2,1,3,1,34,0
2011,DeKalb,667,143,157,32,40,29,30,17,14,14,8,5,10,168,0
2011,DeWitt,157,40,42,8,9,7,9,2,5,3,2,0,2,28,0
2011,Douglas,188,54,40,13,14,8,8,3,1,6,4,2,2,33,0
2011,DuPage,5976,1304,1469,299,292,160,216,122,122,152,103,73,60,1604,0
2011,Edgar,192,57,41,12,15,9,7,3,5,3,5,1,1,33,0
2011,Edwards,67,22,21,1,4,3,0,2,0,1,1,0,1,11,0
2011,Effingham,341,69,84,21,21,23,11,5,13,4,9,0,1,80,0
2011,Fayette,210,41,45,12,20,11,13,6,8,7,1,4,1,41,0
2011,Ford,199,41,27,10,10,5,17,5,3,7,0,2,1,71,0
2011,Franklin,544,87,126,27,41,18,48,17,28,13,16,11,6,106,0
2011,Fulton,462,82,102,30,42,18,12,12,6,14,8,7,1,128,0
2011,Gallatin,83,16,18,5,5,7,5,1,0,5,1,2,2,16,0
2011,Greene,146,39,28,11,9,5,2,4,6,2,4,1,0,35,0
2011,Grundy,412,107,97,17,28,22,12,6,13,9,6,10,8,77,0
2011,Hamilton,114,39,31,3,5,2,2,8,3,2,1,1,1,16,0
2011,Hancock,191,46,39,14,17,9,15,3,1,6,3,3,0,35,0
2011,Hardin,54,15,11,3,5,3,0,3,0,2,0,0,0,12,0
2011,Henderson,79,17,16,7,7,1,6,3,5,4,2,0,1,10,0
2011,Henry,515,109,117,26,38,20,9,11,14,15,7,8,5,136,0
2011,Iroquois,387,97,84,29,27,14,31,8,16,6,10,2,3,60,0
2011,Jackson,481,109,94,34,23,25,25,13,9,13,9,10,6,111,0
2011,Jasper,97,29,17,5,3,2,1,1,2,4,3,2,1,27,0
2011,Jefferson,435,95,101,14,23,24,22,18,9,20,7,7,3,92,0
2011,Jersey,262,73,51,12,11,11,25,4,17,2,2,3,2,49,0
2011,Jo Daviess,236,46,60,17,15,14,17,5,2,8,0,5,1,46,0
2011,Johnson,123,21,23,1,5,2,1,4,0,3,2,2,1,58,0
2011,Kane,2867,529,716,145,163,109,66,75,85,65,40,36,47,791,0
2011,Kankakee,1037,271,232,46,58,48,46,27,23,23,25,12,9,217,0
2011,Kendall,484,104,129,22,24,18,6,16,11,7,6,10,8,123,0
2011,Knox,647,153,114,34,50,15,31,9,23,32,8,5,4,169,0
2011,Lake,4041,880,1007,218,206,120,104,81,138,90,64,55,45,1033,0
2011,LaSalle,1318,361,299,66,85,61,40,17,36,30,15,19,15,274,0
2011,Lawrence,221,37,40,13,15,11,16,6,12,8,5,0,1,57,0
2011,Lee,363,82,83,20,24,16,10,9,4,7,3,5,4,96,0
