Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2018,ILLINOIS,110012,25747,23877,6013,5853,5639,4029,2879,2644,2562,1,790,0,0,0
2018,Adams,871,181,162,51,48,56,49,9,20,18,26,0,0,0,0
2018,Bond,162,38,36,9,13,8,7,1,5,3,5,479,117,101,27
2018,Clinton,353,88,79,21,20,20,16,6,8,8,9,520,110,98,26
2018,Crawford,217,58,51,7,11,15,11,4,6,2,5,0,0,0,0
2018,Cumberland,111,20,20,4,6,8,3,3,4,9,2,753,152,173,43
2018,Edwards,70,22,11,4,5,1,1,1,1,2,2,397,74,63,25
2018,Hamilton,101,23,24,3,8,7,3,4,3,4,3,205,42,45,16
2018,Iroquois,404,101,85,28,17,26,21,13,9,7,10,520,101,115,36
2018,Jo Daviess,235,57,53,9,13,9,12,5,7,3,2,151,29,33,11
2018,Mercer,217,48,54,17,5,10,6,6,5,2,0,0,0,0,0
2018,Monroe,310,78,56,11,10,24,6,7,8,11,2,0,0,0,0
2018,Morgan,431,156,87,25,18,29,6,4,3,15,5,191,52,32,11
2018,Piatt,153,35,33,7,4,14,7,7,2,5,2,0,0,0,0
2018,Pike,189,51,41,7,8,9,2,9,1,2,1,50,13,6,4
2018,Saline,361,72,68,17,22,31,10,8,13,13,11,2022,461,441,110
2018,Scott,48,9,16,2,2,1,1,2,0,2,0,0,0,0,0
2018,Will,759,143,163,36,30,60,13,15,22,17,23,0,0,0,0
2018,Winnebago,3062,701,628,242,147,203,137,67,70,55,39,372,82,91,18
