Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2012,ILLINOIS,102433,24670,24570,5332,5314,4471,2865,2705,2392,2326,1703,1295,1189,23601,0
2012,Adams,771,180,156,47,47,35,30,13,21,31,12,6,6,187,0
2012,Alexander,99,26,21,3,6,4,2,2,9,0,6,1,0,19,0
2012,Bond,161,39,47,7,5,10,4,2,2,3,4,0,0,38,0
2012,Boone,393,84,98,16,29,25,12,7,9,8,0,8,3,94,0
2012,Brown,50,13,9,5,3,0,1,1,2,0,1,1,0,14,0
2012,Bureau,336,95,74,15,16,14,9,8,11,16,5,4,3,66,0
2012,Calhoun,56,18,17,2,3,3,2,2,0,0,0,1,0,8,0
2012,Carroll,197,34,55,12,20,10,4,2,4,2,5,3,1,45,0
2012,Cass,155,24,36,7,15,15,2,1,5,5,2,5,1,37,0
2012,Champaign,1158,250,273,43,62,71,61,37,25,25,27,14,16,254,0
2012,Christian,426,117,93,27,27,22,26,12,3,11,13,9,2,64,0
2012,Clark,187,45,46,11,11,10,12,9,1,4,3,2,1,32,0
2012,Clay,173,41,22,11,15,9,3,6,9,7,5,4,0,41,0
2012,Clinton,336,109,69,16,24,15,3,6,7,8,6,6,0,67,0
2012,Coles,514,136,125,24,41,17,19,15,12,10,2,4,7,102,0
2012,Cook,39353,10094,9490,2035,1604,1455,869,1134,922,924,724,451,471,9180,0
2012,Chicago,18911,5005,4428,909,679,797,310,616,473,470,415,194,249,4366,0
2012,Cook,20442,5089,5062,1126,925,658,559,518,449,454,309,257,222,4814,0
2012,Crawford,211,45,52,16,14,12,10,7,5,2,5,3,0,40,0
2012,Cumberland,109,23,30,3,6,4,5,8,2,3,0,1,1,23,0
2012,DeKalb,703,174,161,43,40,27,20,20,11,15,8,7,5,172,0
2012,DeWitt,177,39,39,8,14,9,12,6,5,6,2,2,1,34,0
2012,Douglas,197,39,51,9,14,13,3,2,6,4,2,0,2,52,5778
2012,Edgar,251,77,51,14,14,10,14,4,9,7,1,5,4,41,0
2012,Edwards,74,19,15,4,3,9,1,4,2,2,0,0,1,14,0
2012,Effingham,365,72,74,27,27,20,14,11,11,8,4,4,3,90,0
2012,Fayette,219,41,55,18,14,12,8,8,7,3,3,2,1,47,0
2012,Ford,193,38,40,6,11,9,15,5,9,2,4,1,3,50,0
2012,Franklin,535,98,112,22,48,38,23,26,14,21,19,5,6,103,0
2012,Fulton,451,105,103,14,26,19,8,3,14,13,11,3,6,126,0
2012,Gallatin,72,21,19,5,6,1,3,2,1,2,2,1,1,8,0
2012,Greene,139,26,34,4,11,7,5,7,2,4,2,0,1,36,0
2012,Grundy,382,91,92,24,17,28,10,12,7,10,5,6,3,77,0
2012,Hamilton,103,45,20,9,7,1,2,0,5,4,3,0,0,7,0
2012,Hancock,199,43,60,17,11,9,7,7,3,6,2,1,1,32,0
2012,Hardin,46,15,7,1,4,3,0,0,1,2,0,0,2,11,0
2012,Henderson,93,26,24,7,5,5,4,4,1,2,0,2,1,12,0
2012,Henry,508,140,107,20,26,17,12,17,13,15,7,2,5,127,0
2012,Iroquois,379,114,85,23,20,22,23,19,5,4,4,6,1,53,0
2012,Jackson,488,123,105,24,27,24,27,6,11,12,6,10,7,106,0
2012,Jasper,111,26,27,6,8,2,7,0,5,5,3,0,0,22,0
2012,Jefferson,431,72,100,19,30,22,23,8,20,6,14,5,9,103,0
2012,Jersey,247,69,57,13,17,10,18,12,1,2,5,1,3,39,0
2012,Jo Daviess,229,54,68,12,9,9,11,5,4,3,2,3,2,47,0
2012,Johnson,128,18,35,4,7,9,3,1,4,0,4,0,0,43,0
2012,Kane,2930,578,711,132,164,122,57,91,89,71,35,48,42,790,0
2012,Kankakee,1017,228,263,53,55,37,41,28,19,20,24,11,15,223,0
2012,Kendall,517,95,138,19,39,27,5,9,8,6,10,13,3,145,0
2012,Knox,702,152,151,43,57,21,48,21,9,20,10,7,6,157,0
2012,Lake,4345,941,1139,228,216,171,112,141,94,82,71,69,55,1026,0
2012,LaSalle,1307,323,294,78,108,48,46,23,19,40,12,11,24,281,0
2012,Lawrence,206,47,37,11,18,11,13,7,4,6,3,3,2,44,0
2012,Lee,332,77,88,22,17,15,6,7,5,6,1,2,2,84,0
2012,Livingston,431,115,90,23,18,28,11,12,11,15,5,3,5,95,0
2012,Logan,323,60,79,17,22,13,20,9,4,8,9,3,2,77,0
2012,McDonough,272,65,57,18,10,17,5,3,9,8,6,4,4,66,0
2012,McHenry,1980,434,532,97,122,102,47,38,48,32,21,41,35,431,0
2012,McLean,1114,226,258,50,63,75,60,28,16,29,13,19,14,263,0
2012,Macon,1193,311,291,69,56,29,19,22,42,31,23,15,9,276,0
2012,Macoupin,575,171,140,27,34,20,24,17,12,13,11,7,5,94,0
2012,Madison,2667,681,568,122,169,180,93,71,73,42,43,43,21,561,0
2012,Marion,469,123,89,27,44,16,18,15,13,13,11,9,5,86,148
2012,Mason,186,34,47,5,11,10,20,7,4,3,3,1,2,39,0
2012,Massac,211,53,36,13,13,9,6,8,6,3,2,5,2,55,0
2012,Menard,140,32,38,8,6,5,5,3,1,4,2,1,2,33,0
2012,Mercer,200,64,54,8,20,6,5,4,0,5,2,3,1,28,0
2012,Monroe,252,52,54,23,20,11,7,5,7,6,2,3,1,61,0
2012,Montgomery,340,86,82,24,15,19,14,11,5,12,6,4,1,61,0
2012,Morgan,403,102,93,26,28,25,9,10,5,15,8,5,3,74,0
