Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2017,ILLINOIS,109726,25393,24147,6021,6017,5734,4021,2927,2566,2402,1815,0,0,0,0
2017,Adams,814,193,170,39,26,44,48,24,21,24,28,0,0,0,0
2017,Alexander,96,21,20,8,1,12,4,4,4,2,3,0,0,0,0
2017,Bond,174,48,41,6,10,5,7,4,3,2,3,0,0,0,0
2017,Boone,431,95,85,22,26,29,17,15,10,5,3,0,0,0,0
2017,Brown,71,13,18,7,2,2,2,2,2,0,2,0,0,0,0
2017,Bureau,387,94,95,21,20,27,8,4,15,18,8,0,0,0,0
2017,Calhoun,51,12,14,1,3,4,4,2,2,0,1,0,0,0,0
2017,Carroll,194,44,52,11,9,13,2,6,5,3,1,0,0,0,0
2017,Cass,138,38,19,7,6,10,2,5,7,5,1,0,0,0,0
2017,Champaign,1368,281,310,53,85,68,74,25,23,34,18,0,0,0,0
2017,Christian,408,99,91,16,23,23,8,14,14,8,8,0,0,0,0
2017,Clark,185,53,40,13,7,7,8,4,4,2,2,0,0,0,0
2017,Clay,155,37,28,6,6,11,4,5,14,6,0,0,0,0,0
2017,Clinton,382,111,61,25,20,22,11,6,13,9,8,0,0,0,0
2017,Coles,464,125,75,30,25,30,14,13,12,15,8,0,0,0,0
2017,Cook,41266,9906,9159,2506,2258,1685,1352,1161,951,908,621,0,0,0,0
2017,Chicago,19742,4784,4268,1195,1261,734,538,617,452,436,313,0,0,0,0
2017,Cook,21524,5122,4891,1311,997,951,814,544,499,472,308,0,0,0,0
2017,Crawford,225,53,47,10,14,14,11,2,3,6,5,0,0,0,0
2017,Cumberland,127,29,34,8,3,9,3,1,1,2,4,759,159,167,42
2017,DeWitt,203,48,36,9,11,23,11,4,3,2,7,0,0,0,0
2017,Douglas,232,54,54,14,12,17,13,2,8,1,4,0,0,0,0
2017,DuPage,6305,1388,1468,382,295,274,254,134,135,124,78,0,0,0,0
2017,Edgar,228,45,37,12,11,28,5,7,6,4,2,0,0,0,0
2017,Edwards,82,24,17,7,4,5,0,1,5,3,0,0,0,0,0
2017,Effingham,363,92,49,24,13,26,23,13,6,9,5,0,0,0,0
2017,Fayette,227,47,56,9,10,15,11,14,4,7,5,0,0,0,0
2017,Ford,203,54,38,7,7,15,20,6,3,2,3,0,0,0,0
2017,Franklin,515,115,114,23,32,41,30,16,5,15,13,0,0,0,0
2017,Fulton,467,99,97,19,26,34,26,12,11,12,5,0,0,0,0
2017,Gallatin,85,23,22,4,3,5,6,0,2,4,2,0,0,0,0
2017,Greene,164,37,28,7,18,16,5,11,1,7,3,0,0,0,0
2017,Grundy,429,84,105,11,15,39,10,15,6,15,8,0,0,0,0
2017,Hamilton,117,32,24,6,4,12,6,3,3,2,1,0,0,0,0
2017,Hancock,222,56,40,10,12,12,7,7,4,5,7,0,0,0,0
2017,Hardin,80,18,23,1,3,6,2,3,4,1,1,0,0,0,0
2017,Henderson,88,16,22,5,5,8,4,2,0,1,2,0,0,0,0
2017,Henry,522,137,104,24,18,43,16,15,13,14,9,0,0,0,0
2017,Iroquois,386,93,92,13,23,27,21,7,12,8,9,0,0,0,0
2017,Jackson,499,113,104,24,35,28,12,21,13,11,11,0,0,0,0
2017,Jasper,100,34,13,6,5,9,5,4,1,3,1,0,0,0,0
2017,Jefferson,472,121,94,22,29,35,26,8,10,13,4,0,0,0,0
2017,Jersey,303,73,44,14,25,22,17,14,8,5,6,0,0,0,0
2017,Jo Daviess,259,63,76,13,16,8,9,5,5,1,4,0,0,0,0
2017,Johnson,149,29,38,4,8,13,2,4,3,2,9,0,0,0,0
2017,Kane,3351,679,786,186,187,148,84,89,88,76,66,0,0,0,0
2017,Kankakee,1225,273,272,75,76,57,66,26,31,41,21,0,0,0,0
2017,Kendall,561,113,143,33,43,30,12,18,15,11,5,0,0,0,0
2017,Knox,670,166,148,32,23,66,31,17,10,17,13,0,0,0,0
2017,Lake,4693,932,1165,216,235,227,192,145,97,74,89,0,0,0,0
2017,LaSalle,1354,317,281,53,95,85,69,39,27,38,13,0,0,0,0
2017,Lawrence,194,46,31,8,8,11,14,8,7,4,6,0,0,0,0
2017,Lee,392,90,96,27,17,32,17,8,8,9,5,0,0,0,0
2017,Livingston,456,107,87,25,24,33,32,11,9,9,6,0,0,0,0
2017,Logan,331,57,69,15,18,34,22,10,10,11,7,316,74,71,22
2017,McHenry,2194,483,539,112,185,108,74,76,38,31,36,0,0,0,0
2017,McLean,1217,289,273,42,80,71,78,22,18,23,16,0,0,0,0
2017,Macon,1256,248,268,77,54,64,43,26,36,35,25,0,0,0,0
2017,Macoupin,573,143,132,39,31,29,17,14,8,8,11,0,0,0,0
2017,Madison,2944,742,605,158,203,151,149,71,61,67,43,0,0,0,0
2017,Marion,534,141,125,17,28,44,21,9,20,8,16,0,0,0,0
2017,Marshall,185,44,47,15,8,4,9,3,4,6,4,0,0,0,0
2017,Mason,204,38,49,8,10,16,12,9,9,4,4,0,0,0,0
2017,Massac,217,57,36,13,9,19,14,3,11,4,3,0,0,0,0
2017,Menard,139,28,28,4,7,9,1,5,4,4,4,0,0,0,0
2017,Mercer,203,42,49,14,8,14,5,10,3,2,2,0,0,0,0
2017,Monroe,302,73,56,23,10,8,7,9,9,7,10,0,0,0,0
2017,Montgomery,354,80,79,17,20,27,24,6,8,7,4,0,0,0,0
2017,Morgan,396,128,93,18,22,18,5,8,8,3,8,0,0,0,0
2017,Moultrie,172,26,31,7,6,16,9,4,5,10,2,0,0,0,0
2017,Ogle,541,125,123,43,28,44,33,10,15,2,4,0,0,0,0
2017,Peoria,1848,371,387,92,118,118,55,43,33,61,35,0,0,0,0
2017,Perry,237,55,48,12,12,14,8,6,13,6,7,0,0,0,0
2017,Piatt,181,45,32,12,12,13,8,4,1,4,4,0,0,0,0
2017,Pike,216,39,41,14,10,25,0,8,3,7,8,0,0,0,0
2017,Pope,62,20,16,0,3,6,1,2,2,3,2,0,0,0,0
2017,Pulaski,67,22,14,1,1,5,3,1,3,2,1,0,0,0,0
2017,Putnam,68,20,11,5,6,6,2,2,0,5,2,0,0,0,0
2017,Randolph,371,91,69,31,22,26,6,11,10,7,7,0,0,0,0
2017,Richland,206,51,31,7,9,16,0,6,11,8,4,0,0,0,0
2017,Rock Island,1633,400,333,65,74,104,41,27,38,41,38,0,0,0,0
2017,St. Clair,2674,624,533,140,162,168,80,83,72,48,72,0,0,0,0
2017,Saline,395,62,88,21,18,38,8,7,20,16,11,0,0,0,0
2017,Sangamon,2059,440,426,108,121,94,60,55,33,48,45,0,0,0,0
2017,Schuyler,89,24,24,7,5,3,0,2,0,6,0,0,0,0,0
2017,Scott,65,11,18,2,4,3,1,1,2,4,0,0,0,0,0
2017,Shelby,227,65,43,13,11,10,5,10,5,3,2,0,0,0,0
2017,Stark,73,15,15,2,9,4,4,2,2,1,2,0,0,0,0
2017,Stephenson,575,109,123,27,37,34,24,29,17,12,8,0,0,0,0
2017,Tazewell,1404,357,304,60,68,78,52,42,21,34,16,226,59,53,9
2017,Vermilion,1008,230,215,54,62,95,14,36,31,21,14,0,0,0,0
2017,Wabash,127,20,32,6,5,11,6,6,5,0,4,0,0,0,0
2017,Warren,178,50,34,13,7,16,4,2,2,2,2,0,0,0,0
2017,Washington,140,41,26,6,9,7,5,2,0,4,3,0,0,0,0
2017,Wayne,204,53,39,12,13,15,4,6,5,1,2,0,0,0,0
2017,White,253,62,51,6,9,25,18,2,13,6,6,0,0,0,0
2017,White,716,198,132,34,20,59,35,14,11,16,9,0,0,0,0
2017,Will,4776,1073,1094,267,254,257,157,117,130,89,74,0,0,0,0
2017,Will,807,153,166,32,41,61,25,23,23,20,35,0,0,0,0
2017,Winnebago,3056,689,661,145,196,196,159,64,88,45,33,0,0,0,0
2017,Woodford,402,94,84,18,16,24,32,9,4,16,4,0,0,0,0
