Year,County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
2015,ILLINOIS,106879,25653,24713,5709,5544,4853,3687,2818,2543,2343,1819,0,0,0,0
2015,Adams,832,162,159,33,60,52,41,11,18,29,37,0,0,0,0
2015,Bond,192,51,42,4,7,15,16,4,7,2,4,398,94,94,28
2015,Clinton,376,109,63,22,26,19,8,9,6,15,8,558,169,130,29
2015,Crawford,242,73,47,23,13,7,9,3,6,8,4,0,0,0,0
2015,Cumberland,125,25,20,13,10,3,7,6,3,3,1,701,137,165,36
2015,Edwards,70,17,15,7,5,1,0,2,2,2,2,405,98,81,35
2015,Hamilton,94,30,27,6,10,2,2,2,1,3,0,0,0,0,0
2015,Hancock,168,47,45,5,7,3,8,3,3,5,4,54,11,13,3
2015,Iroquois,394,90,93,16,25,18,23,14,7,8,7,471,108,99,19
2015,Jo Daviess,238,57,58,16,10,17,10,4,4,5,0,116,25,25,8
2015,Morgan,415,124,96,17,23,23,4,10,7,8,7,198,50,39,8
2015,Piatt,136,37,33,5,9,5,1,2,2,6,1,0,0,0,0
2015,Pike,209,42,52,7,15,12,9,4,3,4,6,50,14,14,1
2015,Saline,374,72,84,12,35,20,19,4,13,16,10,2010,444,496,112
2015,Scott,63,18,17,1,1,2,1,1,2,1,3,0,0,0,0
2015,Stark,92,18,14,4,9,5,8,3,2,1,2,542,119,117,31
