County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia
ILLINOIS,109726,2017,25393,24147,6021,6017,5734,4021,2927,2566,2402,1815
Adams,814,2017,193,170,39,26,44,48,24,21,24,28
Alexander,96,2017,21,20,8,1,12,4,4,4,2,3
Bond,174,2017,48,41,6,10,5,7,4,3,2,3
Boone,431,2017,95,85,22,26,29,17,15,10,5,3
Brown,71,2017,13,18,7,2,2,2,2,2,0,2
Bureau,387,2017,94,95,21,20,27,8,4,15,18,8
Calhoun,51,2017,12,14,1,3,4,4,2,2,0,1
Carroll,194,2017,44,52,11,9,13,2,6,5,3,1
Cass,138,2017,38,19,7,6,10,2,5,7,5,1
Champaign,1368,2017,281,310,53,85,68,74,25,23,34,18
Christian,408,2017,99,91,16,23,23,8,14,14,8,8
Clark,185,2017,53,40,13,7,7,8,4,4,2,2
Clay,155,2017,37,28,6,6,11,4,5,14,6,0
Clinton,382,2017,111,61,25,20,22,11,6,13,9,8
Coles,464,2017,125,75,30,25,30,14,13,12,15,8
Cook,41266,2017,9906,9159,2506,2258,1685,1352,1161,951,908,621
Chicago,19742,2017,4784,4268,1195,1261,734,538,617,452,436,313
Suburban Cook,21524,2017,5122,4891,1311,997,951,814,544,499,472,308
Crawford,225,2017,53,47,10,14,14,11,2,3,6,5
Cumberland,127,2017,29,34,8,3,9,3,1,1,2,4
DeKalb,759,2017,159,167,42,36,38,32,20,19,17,6
DeWitt,203,2017,48,36,9,11,23,11,4,3,2,7
Douglas,232,2017,54,54,14,12,17,13,2,8,1,4
DuPage,6305,2017,1388,1468,382,295,274,254,134,135,124,78
Edgar,228,2017,45,37,12,11,28,5,7,6,4,2
Edwards,82,2017,24,17,7,4,5,0,1,5,3,0
Effingham,363,2017,92,49,24,13,26,23,13,6,9,5
Fayette,227,2017,47,56,9,10,15,11,14,4,7,5
Ford,203,2017,54,38,7,7,15,20,6,3,2,3
Franklin,515,2017,115,114,23,32,41,30,16,5,15,13
Fulton,467,2017,99,97,19,26,34,26,12,11,12,5
Gallatin,85,2017,23,22,4,3,5,6,0,2,4,2
Greene,164,2017,37,28,7,18,16,5,11,1,7,3
Grundy,429,2017,84,105,11,15,39,10,15,6,15,8
Hamilton,117,2017,32,24,6,4,12,6,3,3,2,1
Hancock,222,2017,56,40,10,12,12,7,7,4,5,7
Hardin,80,2017,18,23,1,3,6,2,3,4,1,1
Henderson,88,2017,16,22,5,5,8,4,2,0,1,2
Henry,522,2017,137,104,24,18,43,16,15,13,14,9
Iroquois,386,2017,93,92,13,23,27,21,7,12,8,9
Jackson,499,2017,113,104,24,35,28,12,21,13,11,11
Jasper,100,2017,34,13,6,5,9,5,4,1,3,1
Jefferson,472,2017,121,94,22,29,35,26,8,10,13,4
Jersey,303,2017,73,44,14,25,22,17,14,8,5,6
Jo Daviess,259,2017,63,76,13,16,8,9,5,5,1,4
Johnson,149,2017,29,38,4,8,13,2,4,3,2,9
Kane,3351,2017,679,786,186,187,148,84,89,88,76,66
Kankakee,1225,2017,273,272,75,76,57,66,26,31,41,21
Kendall,561,2017,113,143,33,43,30,12,18,15,11,5
Knox,670,2017,166,148,32,23,66,31,17,10,17,13
Lake,4693,2017,932,1165,216,235,227,192,145,97,74,89
LaSalle,1354,2017,317,281,53,95,85,69,39,27,38,13
Lawrence,194,2017,46,31,8,8,11,14,8,7,4,6
Lee,392,2017,90,96,27,17,32,17,8,8,9,5
Livingston,456,2017,107,87,25,24,33,32,11,9,9,6
Logan,331,2017,57,69,15,18,34,22,10,10,11,7
McDonough,316,2017,74,71,22,15,16,9,4,9,8,6
McHenry,2194,2017,483,539,112,185,108,74,76,38,31,36
McLean,1217,2017,289,273,42,80,71,78,22,18,23,16
Macon,1256,2017,248,268,77,54,64,43,26,36,35,25
Macoupin,573,2017,143,132,39,31,29,17,14,8,8,11
Madison,2944,2017,742,605,158,203,151,149,71,61,67,43
Marion,534,2017,141,125,17,28,44,21,9,20,8,16
Marshall,185,2017,44,47,15,8,4,9,3,4,6,4
Mason,204,2017,38,49,8,10,16,12,9,9,4,4
Massac,217,2017,57,36,13,9,19,14,3,11,4,3
Menard,139,2017,28,28,4,7,9,1,5,4,4,4
Mercer,203,2017,42,49,14,8,14,5,10,3,2,2
Monroe,302,2017,73,56,23,10,8,7,9,9,7,10
Montgomery,354,2017,80,79,17,20,27,24,6,8,7,4
Morgan,396,2017,128,93,18,22,18,5,8,8,3,8
Moultrie,172,2017,26,31,7,6,16,9,4,5,10,2
Ogle,541,2017,125,123,43,28,44,33,10,15,2,4
Peoria,1848,2017,371,387,92,118,118,55,43,33,61,35
Perry,237,2017,55,48,12,12,14,8,6,13,6,7
Piatt,181,2017,45,32,12,12,13,8,4,1,4,4
Pike,216,2017,39,41,14,10,25,0,8,3,7,8
Pope,62,2017,20,16,0,3,6,1,2,2,3,2
Pulaski,67,2017,22,14,1,1,5,3,1,3,2,1
Putnam,68,2017,20,11,5,6,6,2,2,0,5,2
Randolph,371,2017,91,69,31,22,26,6,11,10,7,7
Richland,206,2017,51,31,7,9,16,0,6,11,8,4
Rock Island,1633,2017,400,333,65,74,104,41,27,38,41,38
St. Clair,2674,2017,624,533,140,162,168,80,83,72,48,72
Saline,395,2017,62,88,21,18,38,8,7,20,16,11
Sangamon,2059,2017,440,426,108,121,94,60,55,33,48,45
Schuyler,89,2017,24,24,7,5,3,0,2,0,6,0
Scott,65,2017,11,18,2,4,3,1,1,2,4,0
Shelby,227,2017,65,43,13,11,10,5,10,5,3,2
Stark,73,2017,15,15,2,9,4,4,2,2,1,2
Stephenson,575,2017,109,123,27,37,34,24,29,17,12,8
Tazewell,1404,2017,357,304,60,68,78,52,42,21,34,16
Union,226,2017,59,53,9,7,8,3,0,6,10,7
Vermilion,1008,2017,230,215,54,62,95,14,36,31,21,14
Wabash,127,2017,20,32,6,5,11,6,6,5,0,4
Warren,178,2017,50,34,13,7,16,4,2,2,2,2
Washington,140,2017,41,26,6,9,7,5,2,0,4,3
Wayne,204,2017,53,39,12,13,15,4,6,5,1,2
White,253,2017,62,51,6,9,25,18,2,13,6,6
Whiteside,716,2017,198,132,34,20,59,35,14,11,16,9
Will,4776,2017,1073,1094,267,254,257,157,117,130,89,74
Williamson,807,2017,153,166,32,41,61,25,23,23,20,35
Winnebago,3056,2017,689,661,145,196,196,159,64,88,45,33
Woodford,402,2017,94,84,18,16,24,32,9,4,16,4
