County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes,Year
ILLINOIS,99624,24868,24016,5333,5219,3961,2915,2607,2499,2205,1858,1169,1119,21855,2010
Adams,721,153,151,42,53,28,26,24,15,26,10,6,4,183,2010
Alexander,91,28,12,4,6,6,0,2,3,0,1,1,1,27,2010
Bond,181,52,27,9,14,17,9,4,4,4,3,3,2,33,2010
Boone,325,71,91,17,18,16,8,11,7,7,4,3,12,60,2010
Brown,69,14,11,5,10,2,0,1,1,1,2,1,0,21,2010
Bureau,382,98,86,31,23,22,15,10,3,14,3,9,2,66,2010
Calhoun,49,14,12,5,6,5,1,2,0,0,1,2,0,1,2010
Carroll,200,46,49,8,21,15,4,2,4,4,1,3,3,40,2010
Cass,139,34,33,11,9,3,0,0,6,4,0,1,2,36,2010
Champaign,1124,230,260,59,83,60,50,36,22,20,16,17,8,263,2010
Christian,409,111,97,29,25,16,10,12,9,9,7,3,5,76,2010
Clark,204,56,39,9,16,13,15,5,7,7,1,2,5,29,2010
Clay,175,31,38,12,11,13,1,1,3,5,9,2,0,49,2010
Clinton,295,64,72,14,15,14,8,17,1,6,5,3,2,74,2010
Coles,519,132,117,41,40,26,14,10,10,8,7,6,7,101,2010
Cook,38605,10247,9431,1978,1588,1281,879,1057,1102,893,864,390,449,8446,2010
Chicago,18598,5077,4494,882,687,672,345,504,598,433,460,171,226,4046,2010
Suburban Cook,20007,5170,4937,1096,901,609,534,553,504,460,404,219,223,4400,2010
Crawford,223,60,48,16,11,7,9,11,3,4,4,3,2,45,2010
Cumberland,116,30,28,7,13,10,3,1,3,0,0,0,0,21,2010
DeKalb,662,161,147,34,37,23,33,17,22,14,7,2,7,158,2010
DeWitt,163,37,36,11,20,7,9,5,3,2,1,0,0,32,2010
Douglas,177,46,45,6,10,8,7,1,4,6,2,1,1,40,2010
Edgar,242,74,40,17,20,7,18,8,2,4,5,4,2,41,2010
Edwards,91,18,25,4,6,4,1,1,0,3,3,3,2,21,2010
Effingham,332,72,67,23,24,28,9,7,13,9,4,0,3,73,2010
Fayette,209,41,51,11,9,12,12,2,6,10,4,5,2,44,2010
Ford,198,48,47,11,8,5,11,7,2,3,2,2,1,51,2010
Franklin,547,98,112,22,50,28,46,20,29,14,20,6,3,99,2010
Fulton,437,111,100,22,18,17,18,9,9,4,10,4,2,113,2010
Gallatin,89,31,17,4,4,3,2,8,2,2,3,2,2,9,2010
Greene,148,39,38,9,6,5,4,6,7,3,3,1,0,27,2010
Grundy,361,78,80,26,13,22,17,7,14,5,5,5,4,85,2010
Hamilton,115,42,40,4,2,4,1,5,1,1,2,1,0,12,2010
Hancock,176,50,52,10,12,3,7,0,3,3,3,0,1,32,2010
Hardin,62,13,17,1,6,4,2,2,1,1,1,2,0,12,2010
Henderson,75,23,23,3,7,3,3,0,1,1,1,1,0,9,2010
Henry,567,137,152,40,31,23,9,11,7,6,11,9,7,124,2010
Iroquois,380,101,85,33,16,13,28,11,16,3,11,5,4,54,2010
Jackson,459,108,104,23,29,14,14,15,16,8,13,3,3,109,2010
Jasper,100,25,22,2,5,8,7,3,0,7,1,2,1,17,2010
Jefferson,443,87,101,20,26,18,21,14,7,42,5,6,8,88,2010
Jersey,237,67,56,7,16,12,13,6,10,5,5,2,2,36,2010
Jo Daviess,225,54,62,14,12,6,11,6,0,6,2,2,3,47,2010
Johnson,119,15,28,6,5,8,2,5,1,2,8,1,1,37,2010
Kane,2771,597,703,166,114,100,66,82,71,54,46,48,37,687,2010
Kankakee,971,258,264,43,56,35,44,29,20,26,15,8,10,163,2010
Kendall,473,98,121,30,23,17,9,21,12,8,4,8,6,116,2010
Knox,701,171,145,36,64,31,34,12,17,28,10,8,10,135,2010
Lake,4047,937,1013,180,197,189,115,109,105,94,54,67,55,932,2010
LaSalle,1284,342,306,87,72,73,42,16,19,25,15,15,19,253,2010
Lawrence,200,30,43,5,19,9,15,6,7,6,6,6,2,46,2010
Lee,317,87,73,15,22,17,11,6,3,3,5,4,5,66,2010
Livingston,416,130,68,38,26,13,15,9,14,11,11,3,4,74,2010
Logan,328,67,85,17,7,10,22,4,6,6,4,2,2,96,2010
McDonough,295,91,61,18,16,7,5,7,6,12,5,4,1,62,2010
McHenry,1865,409,504,76,95,89,48,41,43,27,27,41,26,439,2010
McLean,1096,255,288,56,65,53,56,23,25,20,12,17,16,2010,2010
Macon,1166,307,296,78,64,32,20,36,21,14,22,8,12,256,2010
Macoupin,517,140,110,28,41,24,17,12,8,16,8,3,4,106,2010
Madison,2627,678,635,155,155,155,82,60,59,52,53,28,21,494,2010
Marion,541,139,138,17,28,25,15,18,19,20,15,9,3,95,2010
Marshall,173,53,40,13,10,4,13,2,1,0,2,2,3,30,2010
Mason,201,36,46,11,15,15,9,9,4,4,3,2,2,45,2010
Massac,215,54,52,9,15,9,5,5,6,2,0,3,1,54,2010
Menard,121,38,26,2,3,4,2,1,3,4,1,2,0,35,2010
Mercer,157,44,39,5,6,7,12,5,5,1,1,2,2,28,2010
Monroe,253,52,63,16,12,13,13,4,2,8,5,1,1,63,2010
Montgomery,351,85,88,16,23,12,18,3,11,15,9,3,4,64,2010
Morgan,338,92,74,11,32,22,5,4,7,17,1,0,1,72,2010
Moultrie,206,59,42,11,13,7,1,8,14,4,0,1,0,46,2010
Ogle,471,110,119,32,24,25,26,17,8,3,8,6,4,89,2010
Peoria,1720,358,423,108,96,65,51,38,37,55,43,19,17,410,2010
Perry,250,59,48,13,25,9,8,11,7,5,7,4,3,51,2010
Piatt,143,37,29,8,7,7,4,1,5,4,2,1,1,37,2010
Pike,200,34,43,20,14,10,3,4,8,6,4,0,4,50,2010
Pope,58,12,16,5,5,3,0,1,2,1,0,0,0,13,2010
Pulaski,86,23,28,2,4,3,1,5,1,0,1,0,0,18,2010
Putnam,48,10,10,2,1,3,2,0,2,0,0,1,3,14,2010
Randolph,335,76,62,12,27,21,16,12,10,8,4,4,2,81,2010
Richland,197,54,43,15,7,5,0,6,2,5,1,1,1,57,2010
Rock Island,1445,422,339,71,94,48,32,22,34,35,30,14,19,285,2010
St. Clair,2372,527,554,141,158,93,76,62,86,36,37,29,29,544,2010
Saline,376,96,75,23,25,15,25,14,7,8,12,5,5,66,2010
Sangamon,1766,422,398,86,125,101,50,33,35,29,19,28,33,407,2010
Schuyler,77,27,19,5,4,5,0,1,0,2,0,1,0,13,2010
Scott,60,13,14,2,8,5,0,1,1,6,0,1,0,9,2010
Shelby,235,73,58,13,20,7,2,3,3,7,3,2,2,42,2010
Stark,83,16,17,6,4,6,7,5,1,2,1,0,1,17,2010
Stephenson,517,114,113,33,33,20,16,8,11,11,12,5,5,136,2010
Tazewell,1351,319,326,72,85,41,43,39,32,29,20,17,12,316,2010
Union,197,43,40,16,10,9,9,5,6,7,2,2,0,48,2010
Vermilion,922,243,206,54,96,36,24,21,16,14,14,7,13,178,2010
Wabash,160,46,33,4,13,15,1,3,1,4,6,0,3,31,2010
Warren,167,48,28,16,12,8,4,3,8,4,3,1,2,30,2010
Washington,144,36,31,18,10,4,0,8,4,4,3,2,1,23,2010
Wayne,195,40,50,17,8,7,3,5,5,7,2,1,2,48,2010
White,239,58,59,9,19,10,8,2,6,9,5,6,3,45,2010
Whiteside,620,183,141,34,44,19,11,16,15,13,10,3,4,127,2010
Will,3761,923,973,173,183,175,100,104,86,69,55,55,41,824,2010
Williamson,739,158,171,36,46,32,24,32,9,19,23,7,8,174,2010
Winnebago,2609,641,591,151,162,132,72,66,55,42,30,33,30,604,2010
Woodford,350,85,74,23,21,14,29,7,7,7,4,2,1,76,2010
