County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia
ILLINOIS,107041,2016,25017,24396,5660,5632,5506,3878,2782,2518,2177,1704
Adams,773,2016,204,123,34,48,38,34,11,16,16,30
Alexander,101,2016,32,17,3,5,7,0,2,5,6,0
Bond,183,2016,52,41,16,11,9,5,6,2,5,1
Boone,407,2016,71,92,20,37,23,16,18,16,8,3
Brown,58,2016,10,15,4,8,1,2,1,2,1,2
Bureau,447,2016,109,87,28,33,25,18,10,18,13,12
Calhoun,50,2016,15,9,1,2,3,2,2,2,3,0
Carroll,177,2016,61,31,9,9,7,2,4,4,3,4
Cass,159,2016,50,42,10,8,1,1,6,5,1,2
Champaign,1311,2016,281,278,66,78,82,55,14,21,22,30
Christian,415,2016,96,99,13,26,25,19,9,6,7,13
Clark,178,2016,35,36,13,13,10,10,8,10,7,4
Clay,181,2016,41,52,9,8,9,6,3,12,6,6
Clinton,343,2016,99,74,16,17,18,8,10,6,12,5
Coles,524,2016,124,107,33,34,21,21,8,11,11,9
Cook,40891,2016,9948,9394,2243,1647,2049,1429,1147,952,899,621
Chicago,19809,2016,4927,4432,1069,673,1139,596,634,452,430,298
Suburban Cook,21082,2016,5021,4962,1174,974,910,833,513,500,469,323
Crawford,255,2016,70,49,17,14,17,10,5,8,5,4
Cumberland,109,2016,23,25,8,2,6,3,6,2,3,0
DeKalb,700,2016,142,183,28,48,40,24,26,16,7,11
DeWitt,189,2016,46,39,9,13,8,19,4,5,2,2
Douglas,181,2016,46,39,11,8,11,11,5,1,6,3
DuPage,6339,2016,1326,1525,361,282,260,306,120,126,115,88
Edgar,227,2016,64,51,7,18,12,10,8,13,2,1
Edwards,73,2016,19,10,7,6,6,1,2,3,4,0
Effingham,303,2016,60,65,20,17,16,13,4,6,11,7
Fayette,223,2016,57,53,12,10,14,9,7,3,5,3
Ford,209,2016,41,45,9,16,7,27,4,5,2,4
Franklin,519,2016,89,113,22,49,37,21,15,21,11,20
Fulton,479,2016,109,87,21,43,17,22,8,8,7,9
Gallatin,70,2016,21,15,3,8,3,2,2,2,2,2
Greene,190,2016,35,45,10,20,10,6,2,2,6,8
Grundy,397,2016,92,93,19,37,21,12,14,4,10,5
Hamilton,98,2016,21,23,12,9,6,3,2,3,4,2
Hancock,220,2016,50,47,8,13,12,7,4,9,7,10
Hardin,74,2016,19,20,4,5,2,0,4,2,1,0
Henderson,86,2016,25,19,3,12,4,3,1,3,1,0
Henry,561,2016,143,117,23,46,23,14,15,14,13,6
Iroquois,406,2016,100,89,22,24,26,31,19,8,5,6
Jackson,450,2016,107,81,15,34,31,10,10,19,14,14
Jasper,113,2016,23,27,3,10,12,2,5,2,6,1
Jefferson,407,2016,96,80,16,27,26,20,23,12,9,7
Jersey,272,2016,69,48,7,22,13,17,10,6,11,5
Jo Daviess,258,2016,56,55,24,9,21,20,3,2,4,2
Johnson,121,2016,27,27,4,10,7,2,2,4,2,0
Kane,3165,2016,675,742,178,142,170,72,85,76,50,44
Kankakee,1180,2016,305,288,64,58,57,49,22,23,28,18
Kendall,560,2016,102,143,38,31,51,15,11,9,8,7
Knox,681,2016,169,132,36,60,27,41,28,8,16,8
Lake,4506,2016,922,1175,209,234,223,157,112,127,74,62
LaSalle,1296,2016,287,300,69,85,59,61,37,26,25,12
Lawrence,214,2016,39,49,9,13,5,17,12,5,7,4
Lee,365,2016,91,93,16,36,18,10,2,8,3,8
Livingston,430,2016,122,99,22,23,22,14,10,6,8,8
Logan,362,2016,72,91,23,20,16,13,7,11,15,6
McDonough,320,2016,78,67,20,29,13,7,6,11,10,3
McHenry,2066,2016,458,531,99,112,131,63,65,39,21,22
McLean,1135,2016,272,246,44,79,59,73,22,17,13,14
Macon,1215,2016,264,283,70,82,65,28,20,28,26,21
Macoupin,605,2016,144,141,30,35,43,19,17,7,8,8
Madison,2772,2016,686,602,159,162,159,126,76,77,35,52
Marion,537,2016,136,103,26,41,34,21,22,14,10,9
Marshall,156,2016,30,37,9,17,1,9,1,4,10,2
Mason,184,2016,40,58,9,16,4,6,3,2,2,3
Massac,214,2016,67,38,12,15,13,7,7,8,4,2
Menard,131,2016,24,32,4,3,14,5,1,3,2,5
Mercer,189,2016,43,49,8,8,6,6,8,2,1,3
Monroe,257,2016,65,43,20,13,17,4,7,6,2,9
Montgomery,368,2016,81,87,25,16,20,24,5,13,9,5
Morgan,388,2016,119,83,18,28,18,7,6,2,10,6
Moultrie,194,2016,40,38,12,16,8,6,3,3,3,5
Ogle,500,2016,101,124,35,46,26,17,5,7,6,6
Peoria,1842,2016,404,374,108,116,90,43,51,28,54,43
Perry,233,2016,49,49,11,16,16,13,12,16,5,4
Piatt,176,2016,44,49,8,14,10,2,5,4,2,3
Pike,209,2016,44,45,8,12,11,4,10,2,3,3
Pope,50,2016,13,14,3,7,3,1,0,1,0,0
Pulaski,73,2016,18,18,7,3,2,4,2,3,3,1
Putnam,61,2016,16,9,3,3,4,1,0,1,4,0
Randolph,387,2016,78,92,23,38,24,12,6,10,10,5
Richland,225,2016,45,49,6,16,12,1,4,5,9,1
Rock Island,1618,2016,418,328,68,86,57,52,30,44,34,30
St. Clair,2488,2016,604,567,101,129,129,82,75,69,55,65
Saline,369,2016,82,64,16,28,17,11,12,14,15,11
Sangamon,1896,2016,417,403,100,84,96,53,54,32,32,34
Schuyler,99,2016,23,23,11,7,6,0,0,4,2,1
Scott,63,2016,10,14,3,2,5,0,3,3,1,1
Shelby,228,2016,55,49,11,15,8,2,6,2,9,7
Stark,67,2016,12,12,5,3,1,1,2,2,2,1
Stephenson,564,2016,125,107,23,46,33,12,22,11,11,9
Tazewell,1387,2016,348,298,67,79,59,57,29,9,42,27
Union,213,2016,41,46,13,16,11,4,2,8,10,5
Vermilion,956,2016,240,221,39,89,45,22,21,30,9,11
Wabash,151,2016,43,27,5,13,5,4,1,4,1,3
Warren,177,2016,60,34,6,17,6,2,6,3,2,7
Washington,174,2016,40,41,14,10,14,6,4,4,1,1
Wayne,195,2016,40,44,19,10,13,4,1,10,8,1
White,208,2016,37,39,8,13,8,5,3,5,7,2
Whiteside,656,2016,165,158,32,35,28,16,19,14,13,4
Will,4502,2016,1032,1068,255,245,260,171,115,118,81,45
Williamson,780,2016,145,173,45,69,38,32,19,26,18,26
Winnebago,2893,2016,661,652,140,170,209,106,67,89,28,31
Woodford,377,2016,71,87,15,25,9,25,12,7,5,8
