County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis
ILLINOIS,103409,2013,24843,24490,5531,5296,4510,2919,2798,2445,2441,1697,1321,1279
Adams,797,2013,190,166,47,47,38,32,14,16,22,13,4,5
Alexander,97,2013,22,26,8,6,2,4,3,4,1,1,1,1
Bond,173,2013,44,34,13,12,6,5,6,4,5,4,1,2
Boone,378,2013,96,88,27,22,14,16,11,8,7,5,11,5
Brown,61,2013,13,15,1,3,5,1,0,2,1,1,0,1
Bureau,417,2013,112,91,27,16,25,8,6,12,11,5,5,8
Calhoun,58,2013,21,12,1,3,1,2,3,3,0,1,0,0
Carroll,189,2013,46,46,11,15,11,5,1,3,7,2,3,0
Cass,124,2013,35,28,10,4,6,0,2,4,1,1,1,1
Champaign,1244,2013,293,251,69,57,73,38,34,24,23,17,22,18
Christian,377,2013,107,86,21,12,18,11,8,7,13,10,2,1
Clark,205,2013,62,40,12,12,9,7,3,6,7,2,5,3
Clay,175,2013,38,36,12,7,7,5,4,16,7,4,3,0
Clinton,361,2013,106,86,22,18,16,8,13,7,5,8,4,1
Coles,521,2013,114,128,46,19,28,17,12,7,9,6,10,7
Cook,39427,2013,10042,9493,1699,1997,1475,937,1120,913,917,657,447,528
Chicago,18825,2013,4927,4536,731,957,819,351,572,449,430,366,206,294
Suburban Cook,20602,2013,5115,4957,968,1040,656,586,548,464,487,291,241,234
Crawford,245,2013,54,57,12,15,17,5,9,6,1,8,3,6
Cumberland,104,2013,19,27,3,6,4,2,5,2,3,2,1,2
DeKalb,678,2013,152,149,32,43,30,28,12,15,10,8,8,10
DeWitt,183,2013,41,42,10,11,8,7,8,6,6,6,1,1
Douglas,210,2013,47,45,13,16,9,12,5,3,4,2,0,2
DuPage,5964,2013,1351,1479,275,298,226,180,131,126,174,69,88,49
Edgar,261,2013,65,59,17,24,8,18,6,6,7,2,9,3
Edwards,85,2013,22,17,6,7,4,0,4,4,2,0,1,0
Effingham,358,2013,81,76,19,21,20,12,13,7,8,12,3,4
Fayette,218,2013,48,48,14,9,13,8,11,6,6,7,5,1
Ford,205,2013,50,43,12,18,7,11,3,7,2,3,2,0
Franklin,561,2013,94,130,54,23,32,37,21,21,17,24,5,6
Fulton,408,2013,94,86,30,26,21,7,10,10,12,6,3,5
Gallatin,85,2013,18,17,4,7,2,4,1,5,3,1,1,0
Greene,140,2013,29,43,12,4,11,2,4,2,4,2,2,0
Grundy,346,2013,78,86,26,23,19,5,18,7,5,8,7,3
