County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
ILLINOIS,99896,2009,24891,24159,5298,5243,3958,2896,2740,2688,2412,1993,1166,1111,21341
Adams,788,2009,197,149,80,39,32,16,21,16,25,17,10,7,179
Alexander,111,2009,38,21,8,4,2,1,6,7,3,2,1,0,18
Bond,168,2009,43,45,11,10,5,9,5,5,10,4,0,1,20
Boone,316,2009,80,72,16,21,11,17,15,3,4,9,7,10,51
Brown,59,2009,15,12,4,6,0,0,3,1,0,1,1,0,16
Bureau,357,2009,93,94,26,21,16,11,5,12,15,3,4,2,55
Calhoun,60,2009,22,12,5,4,4,2,1,2,0,1,0,1,6
Carroll,181,2009,46,51,15,6,10,2,5,3,1,4,0,0,38
Cass,148,2009,54,33,10,3,9,2,2,3,6,5,0,0,21
Champaign,1186,2009,236,275,59,51,63,51,37,28,31,28,24,7,296
Christian,386,2009,95,100,17,23,11,14,8,11,12,8,4,4,79
Clark,214,2009,50,53,14,20,12,9,5,5,4,2,1,1,38
Clay,198,2009,49,44,21,9,8,2,7,8,5,3,2,2,38
Clinton,349,2009,90,91,10,23,18,19,10,7,8,10,5,2,56
Coles,455,2009,119,88,47,25,19,12,18,10,15,10,7,5,80
Cook,39146,2009,10339,9466,1584,1966,1313,883,1162,1161,984,994,396,464,8434
Chicago,19216,2009,5251,4431,716,933,747,358,624,563,497,516,187,252,4141
Suburban Cook,19930,2009,5088,5035,868,1033,566,525,538,598,487,478,209,212,4293
Crawford,252,2009,64,58,13,21,10,7,8,5,10,3,3,2,48
Cumberland,115,2009,27,26,9,3,7,1,8,1,2,2,1,0,28
DeKalb,679,2009,157,160,32,29,41,35,15,18,6,11,12,5,158
DeWitt,222,2009,47,54,17,9,9,10,10,8,3,0,2,0,53
Douglas,175,2009,45,41,16,10,4,7,3,7,7,1,0,1,33
DuPage,5632,2009,1275,1482,290,306,174,218,98,162,125,85,68,64,1285
Edgar,231,2009,74,44,31,12,7,15,3,6,4,2,2,0,31
Edwards,74,2009,22,14,5,3,6,0,1,2,0,3,0,1,17
Effingham,308,2009,76,85,17,23,22,10,13,5,9,1,0,2,45
Fayette,205,2009,45,42,20,15,11,7,9,6,11,0,2,2,35
Ford,194,2009,42,44,9,9,4,18,1,6,5,5,3,0,48
Franklin,520,2009,90,115,46,26,23,40,29,19,10,15,2,4,101
Fulton,470,2009,115,108,21,24,16,17,12,5,12,10,3,4,123
Gallatin,85,2009,26,20,6,4,3,1,2,3,2,3,2,2,11
Greene,169,2009,38,45,4,7,11,3,6,5,5,3,3,2,37
Grundy,374,2009,102,109,14,17,25,16,7,8,6,3,4,6,57
Hamilton,110,2009,46,27,7,6,0,1,2,6,0,2,1,0,12
Hancock,200,2009,59,42,16,6,12,6,3,7,4,4,1,0,40
Hardin,59,2009,11,18,8,5,5,0,1,2,1,0,0,0,8
Henderson,75,2009,25,17,7,2,3,5,0,0,2,1,3,1,9
Henry,525,2009,135,129,31,34,18,10,13,12,9,10,9,2,113
Iroquois,346,2009,96,72,22,24,10,25,10,7,9,6,3,2,60
Jackson,436,2009,95,107,28,27,24,19,9,17,6,12,5,7,80
Jasper,92,2009,30,20,6,6,1,4,3,2,6,1,1,0,12
Jefferson,449,2009,96,104,31,17,19,23,9,10,50,13,2,5,70
Jersey,197,2009,61,43,10,9,10,15,8,4,1,0,0,0,36
Jo Daviess,235,2009,59,55,10,22,11,14,2,7,4,4,1,3,43
Johnson,127,2009,25,34,12,11,4,4,2,1,4,2,2,4,22
Kane,2743,2009,606,668,127,151,114,64,92,75,56,54,32,41,663
Kankakee,1069,2009,258,234,77,44,46,46,15,52,28,30,8,15,216
Kendall,442,2009,95,108,24,18,24,11,8,18,10,3,13,4,106
Knox,600,2009,182,130,48,33,23,23,12,5,15,3,8,0,118
Lake,3941,2009,850,1013,239,196,160,120,123,92,100,58,64,45,881
LaSalle,1198,2009,348,273,61,54,73,38,29,22,31,14,10,15,230
Lawrence,231,2009,55,36,13,16,10,17,8,6,4,2,1,2,61
Lee,377,2009,86,109,19,14,20,13,8,6,6,7,7,5,77
Livingston,394,2009,116,101,24,16,14,9,12,14,7,8,4,1,68
Logan,316,2009,61,61,26,20,16,14,10,6,7,5,1,2,87
McDonough,297,2009,87,70,14,28,7,4,7,3,10,4,4,3,56
McHenry,1716,2009,356,472,119,85,87,52,52,27,41,17,35,23,350
McLean,1086,2009,246,245,68,49,61,65,26,13,20,11,21,8,253
Macon,1121,2009,300,293,54,73,35,20,23,31,12,14,18,4,244
Macoupin,574,2009,137,123,34,31,29,21,16,15,15,10,8,7,128
Madison,2644,2009,681,601,176,133,139,90,68,75,63,49,39,44,486
Marion,497,2009,142,107,33,28,28,14,14,15,13,7,3,2,91
Marshall,147,2009,41,28,5,11,6,11,2,2,0,5,2,1,33
Mason,179,2009,46,40,11,12,9,13,2,2,3,5,3,3,30
Massac,189,2009,52,35,11,12,11,1,9,6,2,2,4,1,43
Menard,132,2009,35,30,2,7,9,9,2,1,7,3,0,2,25
Mercer,173,2009,54,28,12,7,10,11,5,6,6,1,2,0,31
Monroe,261,2009,63,57,11,21,9,7,6,3,2,6,3,1,72
Montgomery,375,2009,87,86,21,24,21,21,8,12,16,2,4,6,67
Morgan,359,2009,90,85,21,21,18,12,7,2,13,8,7,4,71
Moultrie,159,2009,35,30,9,9,7,4,8,8,2,2,2,1,42
Ogle,452,2009,128,96,27,31,22,23,6,10,10,6,5,3,85
Peoria,1695,2009,350,424,115,112,74,48,37,38,38,23,24,19,393
Perry,226,2009,63,49,16,12,4,10,6,11,4,8,2,2,39
Piatt,161,2009,42,35,6,12,8,3,3,3,4,1,1,2,41
Pike,200,2009,39,42,22,7,10,2,6,6,3,1,3,1,58
Pope,31,2009,9,3,2,3,1,0,1,3,0,1,4,0,4
Pulaski,70,2009,24,10,5,8,2,2,1,1,5,1,1,0,10
Putnam,63,2009,12,23,2,4,2,1,2,1,0,3,0,2,11
Randolph,391,2009,101,98,10,14,19,10,12,16,10,11,5,3,82
Richland,181,2009,52,47,9,6,12,1,0,4,4,3,6,2,35
Rock Island,1414,2009,386,327,84,67,51,54,40,32,22,18,12,12,309
St. Clair,2476,2009,538,560,196,151,112,74,108,59,47,49,25,19,538
Saline,335,2009,76,69,23,20,10,17,9,14,10,11,4,7,65
Sangamon,1930,2009,469,459,136,94,85,45,42,35,46,26,25,22,446
Schuyler,85,2009,25,20,5,6,4,1,1,3,4,2,2,1,11
Scott,50,2009,12,9,3,5,3,0,0,1,2,2,0,0,13
Shelby,248,2009,65,67,9,24,13,5,8,2,7,2,2,2,42
Stark,84,2009,25,15,4,2,4,7,2,0,3,2,0,0,20
Stephenson,531,2009,111,127,34,41,18,11,14,9,17,12,4,6,127
Tazewell,1328,2009,323,345,86,73,42,40,33,26,34,33,11,12,270
Union,219,2009,42,49,15,11,8,15,5,8,9,5,1,1,50
Vermilion,912,2009,213,231,80,54,45,12,21,22,18,21,10,14,171
Wabash,128,2009,28,25,7,4,9,3,3,8,2,3,3,5,28
Warren,189,2009,46,41,13,21,6,5,8,1,5,3,5,0,35
Washington,135,2009,33,31,9,11,7,1,1,6,2,2,2,1,29
Wayne,206,2009,57,46,13,13,3,2,5,7,4,3,4,0,49
White,218,2009,57,58,15,10,7,11,10,3,4,2,2,0,39
Whiteside,616,2009,169,158,41,34,23,23,18,12,8,3,6,4,117
Will,3724,2009,874,1004,164,168,161,81,101,101,81,58,44,65,822
Williamson,750,2009,173,186,43,38,23,17,16,33,31,15,12,7,156
Winnebago,2555,2009,609,629,153,137,139,52,43,65,40,28,32,31,597
Woodford,370,2009,78,90,24,19,16,29,9,8,12,2,7,3,73
