County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis
Shelby,254,2014,63,66,16,8,10,3,12,3,5,3,3,1
Stark,92,2014,22,17,7,3,2,5,1,4,2,0,2,3
Stephenson,513,2014,104,127,38,24,21,10,13,11,8,8,4,7
Tazewell,1408,2014,330,305,73,77,60,59,34,24,31,21,14,14
Union,226,2014,39,57,16,11,11,5,2,5,9,1,5,2
Vermilion,1039,2014,256,252,88,52,53,20,30,22,21,18,13,9
Wabash,135,2014,33,32,10,4,4,3,4,2,4,2,3,0
Warren,179,2014,49,33,12,13,6,8,8,2,4,3,5,3
Washington,150,2014,49,41,7,6,9,2,3,3,3,4,1,0
Wayne,237,2014,58,47,20,13,7,4,10,5,5,2,3,2
White,235,2014,55,47,17,14,7,2,6,8,7,4,5,2
Whiteside,614,2014,138,131,56,27,23,15,14,11,14,5,11,4
Will,4223,2014,1015,1063,205,214,197,107,113,130,88,40,56,75
Williamson,743,2014,138,185,44,40,45,25,13,23,26,20,21,4
Winnebago,2887,2014,630,698,171,150,167,90,56,75,54,27,42,43
Woodford,388,2014,83,79,17,16,22,25,9,5,11,9,8,3
