Resident County,Total Deaths,Diseases of heart,Malignant neoplasms,Cerebro vascular diseases (stroke),Chronic lower respiratory diseases,Accidents,Alzheimer's disease,"Nephritis, nephrotic syndrome and nephrosis",Diabetes mellitus,Influenza and pneumonia,Septicemia,Intentional self-harm (suicide),Chronic liver disease and cirrhosis,All other causes
Lake,"3,941",850,"1,013",239,196,160,120,123,92,100,58,64,45,881
LaSalle,"1,198",348,273,61,54,73,38,29,22,31,14,10,15,230
Lawrence,231,55,36,13,16,10,17,8,6,4,2,1,2,61
Lee,377,86,109,19,14,20,13,8,6,6,7,7,5,77
Livingston,394,116,101,24,16,14,9,12,14,7,8,4,1,68
Logan,316,61,61,26,20,16,14,10,6,7,5,1,2,87
McDonough,297,87,70,14,28,7,4,7,3,10,4,4,3,56
McHenry,"1,716",356,472,119,85,87,52,52,27,41,17,35,23,350
McLean,"1,086",246,245,68,49,61,65,26,13,20,11,21,8,253
Macon,"1,121",300,293,54,73,35,20,23,31,12,14,18,4,244
Macoupin,574,137,123,34,31,29,21,16,15,15,10,8,7,128
Madison,"2,644",681,601,176,133,139,90,68,75,63,49,39,44,486
Marion,497,142,107,33,28,28,14,14,15,13,7,3,2,91
Marshall,147,41,28,5,11,6,11,2,2,0,5,2,1,33
Mason,179,46,40,11,12,9,13,2,2,3,5,3,3,30
Massac,189,52,35,11,12,11,1,9,6,2,2,4,1,43
Menard,132,35,30,2,7,9,9,2,1,7,3,0,2,25
Mercer,173,54,28,12,7,10,11,5,6,6,1,2,0,31
Monroe,261,63,57,11,21,9,7,6,3,2,6,3,1,72
Montgomery,375,87,86,21,24,21,21,8,12,16,2,4,6,67
Morgan,359,90,85,21,21,18,12,7,2,13,8,7,4,71
Moultrie,159,35,30,9,9,7,4,8,8,2,2,2,1,42
Ogle,452,128,96,27,31,22,23,6,10,10,6,5,3,85
Peoria,"1,695",350,424,115,112,74,48,37,38,38,23,24,19,393
Perry,226,63,49,16,12,4,10,6,11,4,8,2,2,39
Piatt,161,42,35,6,12,8,3,3,3,4,1,1,2,41
Pike,200,39,42,22,7,10,2,6,6,3,1,3,1,58
Pope,31,9,3,2,3,1,0,1,3,0,1,4,0,4
Pulaski,70,24,10,5,8,2,2,1,1,5,1,1,0,10
Putnam,63,12,23,2,4,2,1,2,1,0,3,0,2,11
Randolph,391,101,98,10,14,19,10,12,16,10,11,5,3,82
Richland,181,52,47,9,6,12,1,0,4,4,3,6,2,35
Rock Island,"1,414",386,327,84,67,51,54,40,32,22,18,12,12,309
St. Clair,"2,476",538,560,196,151,112,74,108,59,47,49,25,19,538
Saline,335,76,69,23,20,10,17,9,14,10,11,4,7,65
Sangamon,"1,930",469,459,136,94,85,45,42,35,46,26,25,22,446
Schuyler,85,25,20,5,6,4,1,1,3,4,2,2,1,11
Scott,50,12,9,3,5,3,0,0,1,2,2,0,0,13
Shelby,248,65,67,9,24,13,5,8,2,7,2,2,2,42
Stark,84,25,15,4,2,4,7,2,0,3,2,0,0,20
Stephenson,531,111,127,34,41,18,11,14,9,17,12,4,6,127
Tazewell,"1,328",323,345,86,73,42,40,33,26,34,33,11,12,270
Union,219,42,49,15,11,8,15,5,8,9,5,1,1,50
Vermilion,912,213,231,80,54,45,12,21,22,18,21,10,14,171
Wabash,128,28,25,7,4,9,3,3,8,2,3,3,5,28
Warren,189,46,41,13,21,6,5,8,1,5,3,5,0,35
Washington,135,33,31,9,11,7,1,1,6,2,2,2,1,29
Wayne,206,57,46,13,13,3,2,5,7,4,3,4,0,49
White,218,57,58,15,10,7,11,10,3,4,2,2,0,39
Whiteside,616,169,158,41,34,23,23,18,12,8,3,6,4,117
Will,"3,724",874,"1,004",164,168,161,81,101,101,81,58,44,65,822
Williamson,750,173,186,43,38,23,17,16,33,31,15,12,7,156
Winnebago,"2,555",609,629,153,137,139,52,43,65,40,28,32,31,597
Woodford,370,78,90,24,19,16,29,9,8,12,2,7,3,73
