Resident County,Total Deaths,Diseases of heart,Malignant neoplasms,Cerebro vascular diseases (stroke),Chronic lower respiratory diseases,Accidents,Alzheimer's disease,"Nephritis, nephrotic syndrome and nephrosis",Diabetes mellitus,Influenza and pneumonia,Septicemia,Intentional self-harm (suicide),Chronic liver disease and cirrhosis,All other causes
ILLINOIS,"101,291","24,607","23,852","5,324","5,369","3,510","2,896","2,361","2,658","2,394","1,828","1,041","1,121","24,330"
Adams,815,199,167,43,52,26,28,16,21,32,16,8,2,205
Alexander,105,29,19,5,7,1,3,3,4,2,3,1,0,28
Bond,177,35,42,6,12,7,9,5,4,8,3,3,2,41
Boone,364,83,82,25,30,10,13,3,11,6,4,2,3,92
Brown,46,11,12,3,3,3,1,0,1,0,1,0,2,9
Bureau,376,94,85,21,31,13,11,10,7,12,4,3,5,80
Calhoun,53,20,8,2,4,1,0,0,1,2,1,0,0,14
Carroll,181,41,52,5,10,4,3,2,8,3,4,5,1,43
Cass,142,34,37,14,15,6,0,4,0,4,2,0,0,26
Champaign,"1,209",260,273,54,63,48,62,26,25,28,20,8,12,330
Christian,404,83,98,24,26,14,18,11,9,14,10,5,3,89
Clark,198,39,45,18,12,7,5,2,4,5,7,5,2,47
Clay,176,33,45,14,16,11,1,4,1,9,2,2,1,37
Clinton,319,97,72,18,9,13,8,6,3,3,9,4,4,73
Coles,457,135,83,27,30,18,11,13,14,13,2,2,3,106
Cook,"38,871","10,114","9,221","1,981","1,655","1,148",858,949,"1,092",967,805,336,451,"9,294"
Chicago,"18,743","5,008","4,333",889,718,639,370,455,566,472,415,160,239,"4,479"
Suburban Cook,"20,128","5,106","4,888","1,092",937,509,488,494,526,495,390,176,212,"4,815"
Crawford,214,49,43,20,12,11,8,6,5,9,3,1,1,46
Cumberland,130,26,39,6,4,8,2,1,3,2,1,3,1,34
DeKalb,667,143,157,32,40,29,30,17,14,14,8,5,10,168
DeWitt,157,40,42,8,9,7,9,2,5,3,2,0,2,28
Douglas,188,54,40,13,14,8,8,3,1,6,4,2,2,33
DuPage,"5,976","1,304","1,469",299,292,160,216,122,122,152,103,73,60,"1,604"
Edgar,192,57,41,12,15,9,7,3,5,3,5,1,1,33
Edwards,67,22,21,1,4,3,0,2,0,1,1,0,1,11
Effingham,341,69,84,21,21,23,11,5,13,4,9,0,1,80
Fayette,210,41,45,12,20,11,13,6,8,7,1,4,1,41
Ford,199,41,27,10,10,5,17,5,3,7,0,2,1,71
Franklin,544,87,126,27,41,18,48,17,28,13,16,11,6,106
Fulton,462,82,102,30,42,18,12,12,6,14,8,7,1,128
Gallatin,83,16,18,5,5,7,5,1,0,5,1,2,2,16
Greene,146,39,28,11,9,5,2,4,6,2,4,1,0,35
Grundy,412,107,97,17,28,22,12,6,13,9,6,10,8,77
Hamilton,114,39,31,3,5,2,2,8,3,2,1,1,1,16
Hancock,191,46,39,14,17,9,15,3,1,6,3,3,0,35
Hardin,54,15,11,3,5,3,0,3,0,2,0,0,0,12
Henderson,79,17,16,7,7,1,6,3,5,4,2,0,1,10
Henry,515,109,117,26,38,20,9,11,14,15,7,8,5,136
Iroquois,387,97,84,29,27,14,31,8,16,6,10,2,3,60
Jackson,481,109,94,34,23,25,25,13,9,13,9,10,6,111
