,2009,2010,2011
Diseases of heart,33,36,37
Malignant neoplasms,31,31,27
Cerebro vascular diseases (stroke),9,18,14
Chronic lower respiratory diseases,11,10,8
Accidents,7,4,10
Alzheimer's disease,1,0,1
"Nephritis, nephrotic syndrome and nephrosis",1,8,8
Diabetes mellitus,6,4,3
Influenza and pneumonia,2,4,2
Septicemia,2,3,5
Intentional self-harm (suicide),2,2,1
Chronic liver disease and cirrhosis,1,1,0
All other causes,29,23,36
