,2009,2010,2011
Diseases of heart,54,34,34
Malignant neoplasms,33,33,37
Cerebro vascular diseases (stroke),10,11,14
Chronic lower respiratory diseases,3,9,15
Accidents,9,3,6
Alzheimer's disease,2,0,0
"Nephritis, nephrotic syndrome and nephrosis",2,0,4
Diabetes mellitus,3,6,0
Influenza and pneumonia,6,4,4
Septicemia,5,0,2
Intentional self-harm (suicide),0,1,0
Chronic liver disease and cirrhosis,0,2,0
All other causes,21,36,26
