,2009,2010,2011
Diseases of heart,49,31,33
Malignant neoplasms,44,38,45
Cerebro vascular diseases (stroke),21,12,14
Chronic lower respiratory diseases,9,11,16
Accidents,8,13,11
Alzheimer's disease,2,1,1
"Nephritis, nephrotic syndrome and nephrosis",7,1,4
Diabetes mellitus,8,3,1
Influenza and pneumonia,5,5,9
Septicemia,3,9,2
Intentional self-harm (suicide),2,2,2
Chronic liver disease and cirrhosis,2,0,1
All other causes,38,49,37
