,2009,2010,2011
Diseases of heart,323,319,307
Malignant neoplasms,345,326,341
Cerebro vascular diseases (stroke),86,72,69
Chronic lower respiratory diseases,73,85,86
Accidents,42,41,35
Alzheimer's disease,40,43,45
"Nephritis, nephrotic syndrome and nephrosis",33,39,36
Diabetes mellitus,26,32,43
Influenza and pneumonia,34,29,41
Septicemia,33,20,33
Intentional self-harm (suicide),11,17,4
Chronic liver disease and cirrhosis,12,12,11
All other causes,270,316,352
