,2009,2010,2011
Diseases of heart,27,30,26
Malignant neoplasms,26,28,39
Cerebro vascular diseases (stroke),9,7,6
Chronic lower respiratory diseases,3,13,4
Accidents,7,10,8
Alzheimer's disease,1,3,2
"Nephritis, nephrotic syndrome and nephrosis",8,1,1
Diabetes mellitus,1,3,3
Influenza and pneumonia,2,0,2
Septicemia,2,0,1
Intentional self-harm (suicide),1,0,3
Chronic liver disease and cirrhosis,0,0,1
All other causes,28,21,34
