,2009,2010,2011
Diseases of heart,46,42,39
Malignant neoplasms,27,40,31
Cerebro vascular diseases (stroke),7,4,3
Chronic lower respiratory diseases,6,2,5
Accidents,0,4,2
Alzheimer's disease,1,1,2
"Nephritis, nephrotic syndrome and nephrosis",2,5,8
Diabetes mellitus,6,1,3
Influenza and pneumonia,0,1,2
Septicemia,2,2,1
Intentional self-harm (suicide),1,1,1
Chronic liver disease and cirrhosis,0,0,1
All other causes,12,12,16
