,2009,2010,2011
Diseases of heart,609,641,615
Malignant neoplasms,629,591,707
Cerebro vascular diseases (stroke),153,151,169
Chronic lower respiratory diseases,137,162,146
Accidents,139,132,106
Alzheimer's disease,52,72,66
"Nephritis, nephrotic syndrome and nephrosis",43,66,54
Diabetes mellitus,65,55,43
Influenza and pneumonia,40,42,43
Septicemia,28,30,27
Intentional self-harm (suicide),32,33,20
Chronic liver disease and cirrhosis,31,30,46
All other causes,597,604,627
