,2009,2010,2011
Diseases of heart,96,87,95
Malignant neoplasms,104,101,101
Cerebro vascular diseases (stroke),31,20,14
Chronic lower respiratory diseases,17,26,23
Accidents,19,18,24
Alzheimer's disease,23,21,22
"Nephritis, nephrotic syndrome and nephrosis",9,14,18
Diabetes mellitus,10,7,9
Influenza and pneumonia,50,42,20
Septicemia,13,5,7
Intentional self-harm (suicide),2,6,7
Chronic liver disease and cirrhosis,5,8,3
All other causes,70,88,92
