,2009,2010,2011
Diseases of heart,80,71,83
Malignant neoplasms,72,91,82
Cerebro vascular diseases (stroke),16,17,25
Chronic lower respiratory diseases,21,18,30
Accidents,11,16,10
Alzheimer's disease,17,8,13
"Nephritis, nephrotic syndrome and nephrosis",15,11,3
Diabetes mellitus,3,7,11
Influenza and pneumonia,4,7,6
Septicemia,9,4,4
Intentional self-harm (suicide),7,3,2
Chronic liver disease and cirrhosis,10,12,3
All other causes,51,60,92
