,2009,2010,2011
Diseases of heart,41,53,43
Malignant neoplasms,28,40,23
Cerebro vascular diseases (stroke),5,13,17
Chronic lower respiratory diseases,11,10,9
Accidents,6,4,4
Alzheimer's disease,11,13,11
"Nephritis, nephrotic syndrome and nephrosis",2,2,4
Diabetes mellitus,2,1,3
Influenza and pneumonia,0,0,2
Septicemia,5,2,2
Intentional self-harm (suicide),2,2,1
Chronic liver disease and cirrhosis,1,3,3
All other causes,33,30,35
