,2009,2010,2011
Diseases of heart,47,37,40
Malignant neoplasms,54,36,42
Cerebro vascular diseases (stroke),17,11,8
Chronic lower respiratory diseases,9,20,9
Accidents,9,7,7
Alzheimer's disease,10,9,9
"Nephritis, nephrotic syndrome and nephrosis",10,5,2
Diabetes mellitus,8,3,5
Influenza and pneumonia,3,2,3
Septicemia,0,1,2
Intentional self-harm (suicide),2,0,0
Chronic liver disease and cirrhosis,0,0,2
All other causes,53,32,28
