,2009,2010,2011
Diseases of heart,52,54,39
Malignant neoplasms,47,43,44
Cerebro vascular diseases (stroke),9,15,8
Chronic lower respiratory diseases,6,7,12
Accidents,12,5,6
Alzheimer's disease,1,0,0
"Nephritis, nephrotic syndrome and nephrosis",0,6,1
Diabetes mellitus,4,2,4
Influenza and pneumonia,4,5,4
Septicemia,3,1,4
Intentional self-harm (suicide),6,1,0
Chronic liver disease and cirrhosis,2,1,2
All other causes,35,57,56
