,2009,2010,2011
Diseases of heart,25,27,22
Malignant neoplasms,20,19,24
Cerebro vascular diseases (stroke),5,5,4
Chronic lower respiratory diseases,6,4,9
Accidents,4,5,5
Alzheimer's disease,1,0,1
"Nephritis, nephrotic syndrome and nephrosis",1,1,4
Diabetes mellitus,3,0,6
Influenza and pneumonia,4,2,0
Septicemia,2,0,1
Intentional self-harm (suicide),2,1,0
Chronic liver disease and cirrhosis,1,0,1
All other causes,11,13,20
