,2009,2010,2011
Diseases of heart,86,87,82
Malignant neoplasms,109,73,83
Cerebro vascular diseases (stroke),19,15,20
Chronic lower respiratory diseases,14,22,24
Accidents,20,17,16
Alzheimer's disease,13,11,10
"Nephritis, nephrotic syndrome and nephrosis",8,6,9
Diabetes mellitus,6,3,4
Influenza and pneumonia,6,3,7
Septicemia,7,5,3
Intentional self-harm (suicide),7,4,5
Chronic liver disease and cirrhosis,5,5,4
All other causes,77,66,96
