,2009,2010,2011
Diseases of heart,61,67,73
Malignant neoplasms,43,56,51
Cerebro vascular diseases (stroke),10,7,12
Chronic lower respiratory diseases,9,16,11
Accidents,10,12,11
Alzheimer's disease,15,13,25
"Nephritis, nephrotic syndrome and nephrosis",8,6,4
Diabetes mellitus,4,10,17
Influenza and pneumonia,1,5,2
Septicemia,0,5,2
Intentional self-harm (suicide),0,2,3
Chronic liver disease and cirrhosis,0,2,2
All other causes,36,36,49
