,2009,2010,2011
Diseases of heart,850,937,880
Malignant neoplasms,"1,013","1,013","1,007"
Cerebro vascular diseases (stroke),239,180,218
Chronic lower respiratory diseases,196,197,206
Accidents,160,189,120
Alzheimer's disease,120,115,104
"Nephritis, nephrotic syndrome and nephrosis",123,109,81
Diabetes mellitus,92,105,138
Influenza and pneumonia,100,94,90
Septicemia,58,54,64
Intentional self-harm (suicide),64,67,55
Chronic liver disease and cirrhosis,45,55,45
All other causes,881,932,"1,033"
