,2009,2010,2011
Diseases of heart,213,243,282
Malignant neoplasms,231,206,196
Cerebro vascular diseases (stroke),80,54,42
Chronic lower respiratory diseases,54,96,84
Accidents,45,36,31
Alzheimer's disease,12,24,34
"Nephritis, nephrotic syndrome and nephrosis",21,21,27
Diabetes mellitus,22,16,15
Influenza and pneumonia,18,14,17
Septicemia,21,14,26
Intentional self-harm (suicide),10,7,13
Chronic liver disease and cirrhosis,14,13,7
All other causes,171,178,208
