,2009,2010,2011
Diseases of heart,74,74,57
Malignant neoplasms,44,40,41
Cerebro vascular diseases (stroke),31,17,12
Chronic lower respiratory diseases,12,20,15
Accidents,7,7,9
Alzheimer's disease,15,18,7
"Nephritis, nephrotic syndrome and nephrosis",3,8,3
Diabetes mellitus,6,2,5
Influenza and pneumonia,4,4,3
Septicemia,2,5,5
Intentional self-harm (suicide),2,4,1
Chronic liver disease and cirrhosis,0,2,1
All other causes,31,41,33
