,2009,2010,2011
Diseases of heart,182,171,153
Malignant neoplasms,130,145,114
Cerebro vascular diseases (stroke),48,36,34
Chronic lower respiratory diseases,33,64,50
Accidents,23,31,15
Alzheimer's disease,23,34,31
"Nephritis, nephrotic syndrome and nephrosis",12,12,9
Diabetes mellitus,5,17,23
Influenza and pneumonia,15,28,32
Septicemia,3,10,8
Intentional self-harm (suicide),8,8,5
Chronic liver disease and cirrhosis,0,10,4
All other causes,118,135,169
