,2009,2010,2011
Diseases of heart,42,48,41
Malignant neoplasms,44,47,27
Cerebro vascular diseases (stroke),9,11,10
Chronic lower respiratory diseases,9,8,10
Accidents,4,5,5
Alzheimer's disease,18,11,17
"Nephritis, nephrotic syndrome and nephrosis",1,7,5
Diabetes mellitus,6,2,3
Influenza and pneumonia,5,3,7
Septicemia,5,2,0
Intentional self-harm (suicide),3,2,2
Chronic liver disease and cirrhosis,0,1,1
All other causes,48,51,71
