,2009,2010,2011
Diseases of heart,63,52,65
Malignant neoplasms,57,63,75
Cerebro vascular diseases (stroke),11,16,21
Chronic lower respiratory diseases,21,12,10
Accidents,9,13,16
Alzheimer's disease,7,13,6
"Nephritis, nephrotic syndrome and nephrosis",6,4,3
Diabetes mellitus,3,2,5
Influenza and pneumonia,2,8,4
Septicemia,6,5,4
Intentional self-harm (suicide),3,1,2
Chronic liver disease and cirrhosis,1,1,1
All other causes,72,63,69
