,2009,2010,2011
Diseases of heart,35,59,50
Malignant neoplasms,30,42,40
Cerebro vascular diseases (stroke),9,11,8
Chronic lower respiratory diseases,9,13,10
Accidents,7,7,8
Alzheimer's disease,4,1,2
"Nephritis, nephrotic syndrome and nephrosis",8,8,3
Diabetes mellitus,8,14,6
Influenza and pneumonia,2,4,9
Septicemia,2,0,1
Intentional self-harm (suicide),2,1,1
Chronic liver disease and cirrhosis,1,0,0
All other causes,42,46,55
