,2009,2010,2011
Diseases of heart,46,46,41
Malignant neoplasms,51,49,52
Cerebro vascular diseases (stroke),15,8,5
Chronic lower respiratory diseases,6,21,10
Accidents,10,15,4
Alzheimer's disease,2,4,3
"Nephritis, nephrotic syndrome and nephrosis",5,2,2
Diabetes mellitus,3,4,8
Influenza and pneumonia,1,4,3
Septicemia,4,1,4
Intentional self-harm (suicide),0,3,5
Chronic liver disease and cirrhosis,0,3,1
All other causes,38,40,43
