,2009,2010,2011
Diseases of heart,469,422,399
Malignant neoplasms,459,398,440
Cerebro vascular diseases (stroke),136,86,70
Chronic lower respiratory diseases,94,125,100
Accidents,85,101,84
Alzheimer's disease,45,50,43
"Nephritis, nephrotic syndrome and nephrosis",42,33,28
Diabetes mellitus,35,35,39
Influenza and pneumonia,46,29,35
Septicemia,26,19,29
Intentional self-harm (suicide),25,28,18
Chronic liver disease and cirrhosis,22,33,21
All other causes,446,407,464
