,2009,2010,2011
Diseases of heart,12,10,7
Malignant neoplasms,23,10,19
Cerebro vascular diseases (stroke),2,2,3
Chronic lower respiratory diseases,4,1,0
Accidents,2,3,3
Alzheimer's disease,1,2,0
"Nephritis, nephrotic syndrome and nephrosis",2,0,0
Diabetes mellitus,1,2,3
Influenza and pneumonia,0,0,1
Septicemia,3,0,2
Intentional self-harm (suicide),0,1,0
Chronic liver disease and cirrhosis,2,3,0
All other causes,11,14,13
