,2009,2010,2011
Diseases of heart,87,85,64
Malignant neoplasms,86,88,88
Cerebro vascular diseases (stroke),21,16,21
Chronic lower respiratory diseases,24,23,14
Accidents,21,12,13
Alzheimer's disease,21,18,24
"Nephritis, nephrotic syndrome and nephrosis",8,3,5
Diabetes mellitus,12,11,11
Influenza and pneumonia,16,15,12
Septicemia,2,9,4
Intentional self-harm (suicide),4,3,3
Chronic liver disease and cirrhosis,6,4,3
All other causes,67,64,70
