,2009,2010,2011
Diseases of heart,38,39,39
Malignant neoplasms,45,38,28
Cerebro vascular diseases (stroke),4,9,11
Chronic lower respiratory diseases,7,6,9
Accidents,11,5,5
Alzheimer's disease,3,4,2
"Nephritis, nephrotic syndrome and nephrosis",6,6,4
Diabetes mellitus,5,7,6
Influenza and pneumonia,5,3,2
Septicemia,3,3,4
Intentional self-harm (suicide),3,1,1
Chronic liver disease and cirrhosis,2,0,0
All other causes,37,27,35
