,2009,2010,2011
Diseases of heart,59,50,46
Malignant neoplasms,42,52,39
Cerebro vascular diseases (stroke),16,10,14
Chronic lower respiratory diseases,6,12,17
Accidents,12,3,9
Alzheimer's disease,6,7,15
"Nephritis, nephrotic syndrome and nephrosis",3,0,3
Diabetes mellitus,7,3,1
Influenza and pneumonia,4,3,6
Septicemia,4,3,3
Intentional self-harm (suicide),1,0,3
Chronic liver disease and cirrhosis,0,1,0
All other causes,40,32,35
