,2009,2010,2011
Diseases of heart,25,15,21
Malignant neoplasms,34,28,23
Cerebro vascular diseases (stroke),12,6,1
Chronic lower respiratory diseases,11,5,5
Accidents,4,8,2
Alzheimer's disease,4,2,1
"Nephritis, nephrotic syndrome and nephrosis",2,5,4
Diabetes mellitus,1,1,0
Influenza and pneumonia,4,2,3
Septicemia,2,8,2
Intentional self-harm (suicide),2,1,2
Chronic liver disease and cirrhosis,4,1,1
All other causes,22,37,58
