,2009,2010,2011
Diseases of heart,15,14,11
Malignant neoplasms,12,11,12
Cerebro vascular diseases (stroke),4,5,3
Chronic lower respiratory diseases,6,10,3
Accidents,0,2,3
Alzheimer's disease,0,0,1
"Nephritis, nephrotic syndrome and nephrosis",3,1,0
Diabetes mellitus,1,1,1
Influenza and pneumonia,0,1,0
Septicemia,1,2,1
Intentional self-harm (suicide),1,1,0
Chronic liver disease and cirrhosis,0,0,2
All other causes,16,21,9
