,2009,2010,2011
Diseases of heart,9,12,15
Malignant neoplasms,3,16,15
Cerebro vascular diseases (stroke),2,5,2
Chronic lower respiratory diseases,3,5,3
Accidents,1,3,1
Alzheimer's disease,0,0,0
"Nephritis, nephrotic syndrome and nephrosis",1,1,2
Diabetes mellitus,3,2,2
Influenza and pneumonia,0,1,1
Septicemia,1,0,1
Intentional self-harm (suicide),4,0,1
Chronic liver disease and cirrhosis,0,0,2
All other causes,4,13,16
