,2009,2010,2011
Diseases of heart,116,130,120
Malignant neoplasms,101,68,89
Cerebro vascular diseases (stroke),24,38,27
Chronic lower respiratory diseases,16,26,24
Accidents,14,13,14
Alzheimer's disease,9,15,13
"Nephritis, nephrotic syndrome and nephrosis",12,9,12
Diabetes mellitus,14,14,10
Influenza and pneumonia,7,11,6
Septicemia,8,11,10
Intentional self-harm (suicide),4,3,1
Chronic liver disease and cirrhosis,1,4,5
All other causes,68,74,88
