,2009,2010,2011
Diseases of heart,63,59,46
Malignant neoplasms,49,48,48
Cerebro vascular diseases (stroke),16,13,14
Chronic lower respiratory diseases,12,25,16
Accidents,4,9,9
Alzheimer's disease,10,8,7
"Nephritis, nephrotic syndrome and nephrosis",6,11,14
Diabetes mellitus,11,7,11
Influenza and pneumonia,4,5,6
Septicemia,8,7,7
Intentional self-harm (suicide),2,4,4
Chronic liver disease and cirrhosis,2,3,4
All other causes,39,51,45
