,2009,2010,2011
Diseases of heart,22,14,20
Malignant neoplasms,12,12,8
Cerebro vascular diseases (stroke),5,5,2
Chronic lower respiratory diseases,4,6,4
Accidents,4,5,1
Alzheimer's disease,2,1,0
"Nephritis, nephrotic syndrome and nephrosis",1,2,0
Diabetes mellitus,2,0,1
Influenza and pneumonia,0,0,2
Septicemia,1,1,1
Intentional self-harm (suicide),0,2,0
Chronic liver disease and cirrhosis,1,0,0
All other causes,6,1,14
