,2009,2010,2011
Diseases of heart,87,91,78
Malignant neoplasms,70,61,66
Cerebro vascular diseases (stroke),14,18,16
Chronic lower respiratory diseases,28,16,17
Accidents,7,7,15
Alzheimer's disease,4,5,3
"Nephritis, nephrotic syndrome and nephrosis",7,7,2
Diabetes mellitus,3,6,7
Influenza and pneumonia,10,12,8
Septicemia,4,5,3
Intentional self-harm (suicide),4,4,0
Chronic liver disease and cirrhosis,3,1,3
All other causes,56,62,76
