,2009,2010,2011
Diseases of heart,137,140,154
Malignant neoplasms,123,110,117
Cerebro vascular diseases (stroke),34,28,30
Chronic lower respiratory diseases,31,41,32
Accidents,29,24,19
Alzheimer's disease,21,17,16
"Nephritis, nephrotic syndrome and nephrosis",16,12,14
Diabetes mellitus,15,8,16
Influenza and pneumonia,15,16,15
Septicemia,10,8,8
Intentional self-harm (suicide),8,3,4
Chronic liver disease and cirrhosis,7,4,4
All other causes,128,106,118
