,2009,2010,2011
Diseases of heart,55,30,37
Malignant neoplasms,36,43,40
Cerebro vascular diseases (stroke),13,5,13
Chronic lower respiratory diseases,16,19,15
Accidents,10,9,11
Alzheimer's disease,17,15,16
"Nephritis, nephrotic syndrome and nephrosis",8,6,6
Diabetes mellitus,6,7,12
Influenza and pneumonia,4,6,8
Septicemia,2,6,5
Intentional self-harm (suicide),1,6,0
Chronic liver disease and cirrhosis,2,2,1
All other causes,61,46,57
