,2009,2010,2011
Diseases of heart,95,98,104
Malignant neoplasms,108,121,129
Cerebro vascular diseases (stroke),24,30,22
Chronic lower respiratory diseases,18,23,24
Accidents,24,17,18
Alzheimer's disease,11,9,6
"Nephritis, nephrotic syndrome and nephrosis",8,21,16
Diabetes mellitus,18,12,11
Influenza and pneumonia,10,8,7
Septicemia,3,4,6
Intentional self-harm (suicide),13,8,10
Chronic liver disease and cirrhosis,4,6,8
All other causes,106,116,123
