,2009,2010,2011
Diseases of heart,46,36,45
Malignant neoplasms,40,46,43
Cerebro vascular diseases (stroke),11,11,6
Chronic lower respiratory diseases,12,15,18
Accidents,9,15,5
Alzheimer's disease,13,9,8
"Nephritis, nephrotic syndrome and nephrosis",2,9,3
Diabetes mellitus,2,4,4
Influenza and pneumonia,3,4,5
Septicemia,5,3,8
Intentional self-harm (suicide),3,2,2
Chronic liver disease and cirrhosis,3,2,4
All other causes,30,45,49
