,2009,2010,2011
Diseases of heart,25,23,17
Malignant neoplasms,17,23,16
Cerebro vascular diseases (stroke),7,3,7
Chronic lower respiratory diseases,2,7,7
Accidents,3,3,1
Alzheimer's disease,5,3,6
"Nephritis, nephrotic syndrome and nephrosis",0,0,3
Diabetes mellitus,0,1,5
Influenza and pneumonia,2,1,4
Septicemia,1,1,2
Intentional self-harm (suicide),3,1,0
Chronic liver disease and cirrhosis,1,0,1
All other causes,9,9,10
