,2009,2010,2011
Diseases of heart,90,64,97
Malignant neoplasms,91,72,72
Cerebro vascular diseases (stroke),10,14,18
Chronic lower respiratory diseases,23,15,9
Accidents,18,14,13
Alzheimer's disease,19,8,8
"Nephritis, nephrotic syndrome and nephrosis",10,17,6
Diabetes mellitus,7,1,3
Influenza and pneumonia,8,6,3
Septicemia,10,5,9
Intentional self-harm (suicide),5,3,4
Chronic liver disease and cirrhosis,2,2,4
All other causes,56,74,73
