,2009,2010,2011
Diseases of heart,61,67,62
Malignant neoplasms,61,85,59
Cerebro vascular diseases (stroke),26,17,17
Chronic lower respiratory diseases,20,7,17
Accidents,16,10,8
Alzheimer's disease,14,22,18
"Nephritis, nephrotic syndrome and nephrosis",10,4,4
Diabetes mellitus,6,6,2
Influenza and pneumonia,7,6,9
Septicemia,5,4,11
Intentional self-harm (suicide),1,2,5
Chronic liver disease and cirrhosis,2,2,1
All other causes,87,96,67
