,2009,2010,2011
Diseases of heart,350,358,366
Malignant neoplasms,424,423,422
Cerebro vascular diseases (stroke),115,108,110
Chronic lower respiratory diseases,112,96,104
Accidents,74,65,50
Alzheimer's disease,48,51,54
"Nephritis, nephrotic syndrome and nephrosis",37,38,32
Diabetes mellitus,38,37,46
Influenza and pneumonia,38,55,42
Septicemia,23,43,36
Intentional self-harm (suicide),24,19,10
Chronic liver disease and cirrhosis,19,17,23
All other causes,393,410,447
