,2009,2010,2011
Diseases of heart,52,54,53
Malignant neoplasms,35,52,32
Cerebro vascular diseases (stroke),11,9,13
Chronic lower respiratory diseases,12,15,25
Accidents,11,9,12
Alzheimer's disease,1,5,4
"Nephritis, nephrotic syndrome and nephrosis",9,5,2
Diabetes mellitus,6,6,6
Influenza and pneumonia,2,2,6
Septicemia,2,0,2
Intentional self-harm (suicide),4,3,5
Chronic liver disease and cirrhosis,1,1,0
All other causes,43,54,55
