,2009,2010,2011
Diseases of heart,606,597,529
Malignant neoplasms,668,703,716
Cerebro vascular diseases (stroke),127,166,145
Chronic lower respiratory diseases,151,114,163
Accidents,114,100,109
Alzheimer's disease,64,66,66
"Nephritis, nephrotic syndrome and nephrosis",92,82,75
Diabetes mellitus,75,71,85
Influenza and pneumonia,56,54,65
Septicemia,54,46,40
Intentional self-harm (suicide),32,48,36
Chronic liver disease and cirrhosis,41,37,47
All other causes,663,687,791
