,2009,2010,2011
Diseases of heart,54,44,58
Malignant neoplasms,28,39,38
Cerebro vascular diseases (stroke),12,5,6
Chronic lower respiratory diseases,7,6,5
Accidents,10,7,5
Alzheimer's disease,11,12,5
"Nephritis, nephrotic syndrome and nephrosis",5,5,5
Diabetes mellitus,6,5,4
Influenza and pneumonia,6,1,4
Septicemia,1,1,1
Intentional self-harm (suicide),2,2,0
Chronic liver disease and cirrhosis,0,2,3
All other causes,31,28,29
