,2009,2010,2011
Diseases of heart,128,110,108
Malignant neoplasms,96,119,120
Cerebro vascular diseases (stroke),27,32,22
Chronic lower respiratory diseases,31,24,30
Accidents,22,25,13
Alzheimer's disease,23,26,24
"Nephritis, nephrotic syndrome and nephrosis",6,17,13
Diabetes mellitus,10,8,7
Influenza and pneumonia,10,3,1
Septicemia,6,8,4
Intentional self-harm (suicide),5,6,9
Chronic liver disease and cirrhosis,3,4,2
All other causes,85,89,98
