,2009,2010,2011
Diseases of heart,11,13,15
Malignant neoplasms,18,17,11
Cerebro vascular diseases (stroke),8,1,3
Chronic lower respiratory diseases,5,6,5
Accidents,5,4,3
Alzheimer's disease,0,2,0
"Nephritis, nephrotic syndrome and nephrosis",1,2,3
Diabetes mellitus,2,1,0
Influenza and pneumonia,1,1,2
Septicemia,0,1,0
Intentional self-harm (suicide),0,2,0
Chronic liver disease and cirrhosis,0,0,0
All other causes,8,12,12
